Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
25 Ducky Tewodros,32,0,32,0,5,11,10,9,11,0,0,0,2,0,0,0,0,0,0,66.36,32.71,8.30,4.09,136.44,96.91,12.40,8.81
17 Rufus Caitlin Duffner,82,77,5,48,2,72,44,59,69,3,3,11,13,6,5,1,4,0,0,432.63,146.27,8.01,2.71,895.76,610.35,12.98,8.85
08 PJ Maddi Lang,69,14,55,6,17,86,34,84,81,5,2,3,2,7,7,0,0,0,0,647.78,278.79,8.64,3.72,634.03,57.56,7.83,0.71
41 Avery Mullen,17,0,17,0,10,13,6,12,12,1,0,2,1,0,0,0,1,0,0,100.58,13.82,8.38,1.15,128.48,35.69,10.71,2.97
10 Steph Rupp,78,75,3,54,1,232,74,230,191,41,9,14,2,9,9,0,2,0,0,"2,485.08","1,192.85",11.35,5.45,"1,651.98",291.53,8.65,1.53
00 Eileen Duffner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27 Connie Chan,100,21,79,11,20,65,37,58,60,5,2,2,7,8,5,3,8,0,0,514.86,167.31,9.71,3.16,815.25,566.29,13.59,9.44
06 Kylie Chesner,74,1,73,1,23,35,23,32,35,0,2,2,3,1,1,0,2,0,0,281.91,131.03,9.09,4.23,441.64,294.55,12.62,8.42
13 Grace Feehan,72,69,3,46,1,54,39,47,51,3,1,5,7,5,4,1,6,0,0,480.18,222.00,11.43,5.29,659.45,500.18,12.93,9.81
23 Marie Zarazoga,21,0,21,0,4,11,6,11,11,0,0,0,0,2,2,0,0,0,0,62.37,11.72,6.93,1.30,112.35,0.76,10.21,0.07
14 Sarah Helding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
