Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
10 Nate King,80,30,50,18,15,96,49,94,61,35,7,5,2,13,13,0,2,0,0,"1,107.78",590.85,13.85,7.39,724.36,244.53,11.87,4.01
17 Anna Martinello,97,50,47,33,11,29,25,24,28,1,0,2,5,4,4,0,3,0,0,245.23,122.37,12.26,6.12,419.12,264.91,14.97,9.46
11 Eric Wong,72,41,31,29,5,132,48,130,108,24,5,13,2,12,11,1,2,0,0,"1,592.35",747.61,13.49,6.34,"1,216.85",159.54,11.27,1.48
16 Brooke Chomko,38,34,4,24,0,26,13,25,26,0,1,0,1,0,0,0,1,0,0,291.07,157.95,11.64,6.32,346.70,228.83,13.33,8.80
19 Emily Molloy,133,126,7,91,1,126,78,111,125,1,4,10,15,10,6,4,2,0,0,"1,108.09",133.50,10.76,1.30,"1,668.31","1,169.88",13.35,9.36
56 Angel Barragan,74,13,61,6,12,72,37,69,49,23,1,2,3,6,6,0,1,0,0,832.46,368.19,13.87,6.14,629.20,165.71,12.84,3.38
20 Ellie Lind,67,8,59,6,16,22,15,16,22,0,1,2,6,3,2,1,0,0,0,160.15,58.35,11.44,4.17,404.65,288.07,18.39,13.09
06 Tess Buchanan,56,4,52,0,8,32,14,32,30,2,1,0,0,4,4,0,0,0,0,332.60,18.09,11.88,0.65,367.80,119.78,12.26,3.99
14 Gina Stees,76,20,56,5,13,50,30,44,48,2,2,1,6,11,9,2,3,0,0,510.69,250.30,15.02,7.36,791.90,437.97,16.50,9.12
71 Guber,91,17,74,7,19,67,34,63,65,2,9,3,4,15,13,2,9,0,0,841.41,503.58,17.90,10.71,932.53,285.69,14.35,4.40
Peter Walsh,53,4,49,2,6,30,17,28,27,3,1,0,2,7,7,0,0,0,0,239.44,63.32,12.60,3.33,406.74,179.92,15.06,6.66
07 Chris Nowak,20,0,20,0,5,16,8,14,16,0,1,0,2,0,0,0,0,0,0,155.60,-23.06,11.11,-1.65,246.83,159.24,15.43,9.95
94 Gloria Adeola,35,2,33,1,4,17,12,17,16,1,0,0,0,3,2,1,1,0,0,175.04,44.04,11.67,2.94,209.66,121.37,13.10,7.59
25 Molly Cowley,32,32,0,24,0,20,15,16,19,1,2,0,4,1,1,0,1,0,0,172.29,64.41,11.49,4.29,257.33,138.07,13.54,7.27
30 Caleb Moran,86,20,66,7,20,73,41,71,60,13,4,4,2,10,8,2,5,0,0,865.40,276.24,13.74,4.38,736.61,312.72,12.28,5.21
92 Sam DeVine,105,102,3,72,1,96,57,87,87,9,13,4,9,11,11,0,5,0,0,"1,177.75",733.20,15.92,9.91,"1,403.27",704.57,16.13,8.10
24 Courtney Rachke,112,94,18,66,2,76,52,67,76,0,4,11,9,9,4,5,9,0,0,659.66,96.42,10.81,1.58,"1,179.83",847.12,15.52,11.15
05 Seokhee Burningham,62,56,6,35,2,57,30,51,53,4,0,6,6,7,4,3,9,0,0,532.13,169.88,11.57,3.69,"1,009.41",644.23,19.05,12.16
07 Jake Blatt,31,5,26,1,1,7,5,7,7,0,0,0,0,3,2,1,1,0,0,49.90,11.53,9.98,2.31,108.98,51.59,15.57,7.37
32 Sean McSweeney,126,126,0,92,0,280,119,274,184,96,19,18,6,11,9,2,3,0,0,"4,150.29","2,058.65",15.96,7.92,"2,407.75",713.52,13.09,3.88
08 ManHua Zhu,95,19,76,6,19,107,54,107,72,35,6,3,0,10,8,2,1,0,0,"1,275.82",622.66,13.15,6.42,841.29,184.89,11.68,2.57
21 Abby Pavlicek,63,6,57,2,14,26,17,23,25,1,0,1,2,2,1,1,2,0,1,239.61,-35.49,10.89,-1.61,403.38,203.58,16.14,8.14
Mox,70,14,56,7,7,22,14,21,22,0,1,2,1,5,1,4,2,0,0,225.62,49.50,11.28,2.48,329.12,115.51,14.96,5.25
47 Penny Wu,133,127,6,93,2,376,123,370,295,81,34,15,6,58,55,3,7,0,0,"4,863.81","2,583.40",15.54,8.25,"3,588.51",589.86,12.16,2.00
03 Ethan Jones,124,111,13,85,5,147,93,119,140,7,10,14,28,9,8,1,11,0,0,"1,388.84",505.67,12.74,4.64,"2,649.73","1,881.61",18.93,13.44
04 Justin Foreman,24,3,21,0,2,8,4,8,8,0,1,0,0,0,0,0,2,0,0,122.03,53.98,15.25,6.75,115.68,70.68,14.46,8.83
76 Conrad Nguyen,59,7,52,2,6,44,18,42,28,16,0,2,1,4,4,0,1,0,1,543.64,192.54,14.69,5.20,348.96,19.78,12.46,0.71
