Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-27 15:35:52,1,0,0,1,0,1,2,1,0,1,0,0,,,
2025-08-27 15:37:21,2,0,1,1,1,1,6,0,0,0,0,0,24 Courtney Rachke,47 Penny Wu,32 Sean McSweeney
2025-08-27 15:38:32,3,1,1,0,0,1,4,1,1,0,0,1,,,
2025-08-27 15:40:30,4,1,2,1,0,2,6,2,2,0,0,1,,,
2025-08-27 15:42:54,5,1,3,1,1,1,3,0,0,0,0,0,10 Nate King,71 Guber,14 Gina Stees
2025-08-27 15:43:48,6,2,3,0,0,1,15,1,1,0,1,0,,,
2025-08-27 15:47:33,7,2,4,1,1,2,5,1,1,0,1,0,32 Sean McSweeney,47 Penny Wu,19 Emily Molloy
2025-08-27 15:49:35,8,3,4,0,1,1,3,0,0,0,1,0,08 ManHua Zhu,14 Gina Stees,05 Seokhee Burningham
2025-08-27 15:50:47,9,4,4,0,0,0,0,0,0,0,0,0,,,
2025-08-27 15:51:36,10,4,5,1,1,4,25,3,3,0,3,0,47 Penny Wu,32 Sean McSweeney,03 Ethan Jones
2025-08-27 15:57:35,11,5,5,0,0,0,0,0,0,0,0,0,,,
2025-08-28 11:37:52,12,5,6,1,1,2,12,1,0,1,0,1,32 Sean McSweeney,47 Penny Wu,03 Ethan Jones
2025-08-28 11:41:46,13,6,6,0,1,1,10,0,0,0,0,1,30 Caleb Moran,10 Nate King,17 Anna Martinello
2025-08-28 11:44:06,14,7,6,0,0,1,2,1,1,0,1,0,,,
2025-08-28 11:45:18,15,7,7,1,1,1,10,0,0,0,0,0,47 Penny Wu,19 Emily Molloy,92 Sam DeVine
2025-08-28 11:47:11,16,8,7,0,0,1,2,1,1,0,0,1,,,
2025-08-28 11:49:14,17,8,8,1,0,6,19,6,6,0,3,2,,,
2025-08-28 11:56:45,18,8,9,1,1,1,13,0,0,0,0,0,14 Gina Stees,08 ManHua Zhu,14 Gina Stees
2025-08-28 11:58:53,19,9,9,0,0,2,5,2,2,0,0,2,,,
2025-08-28 12:01:36,20,9,10,1,0,2,10,2,2,1,1,0,,,
2025-08-28 12:05:38,21,9,11,1,0,1,8,1,1,0,0,0,,,
2025-08-28 12:07:43,22,9,12,1,0,0,0,0,0,0,0,0,,,
