Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-08-27 15:36:30,1,1,1,0,0.76344085,0.5139165,92 Sam DeVine,2,,,,,47 Penny Wu,
2025-08-27 15:37:45,2,1,1,1,0.8655914,0.7276342,47 Penny Wu,6,24 Courtney Rachke,47 Penny Wu,32 Sean McSweeney,,,
2025-08-27 15:39:30,3,1,0,0,0.99462366,0.6988072,10 Nate King,4,,,,30 Caleb Moran,,
2025-08-27 15:40:56,4,1,1,0,0.36021507,0.84691846,32 Sean McSweeney,3,,,,32 Sean McSweeney,,
2025-08-27 15:42:00,4,2,1,0,0.9005376,0.80815107,47 Penny Wu,3,,,,92 Sam DeVine,,
2025-08-27 15:43:30,5,1,1,1,0.0,0.5646123,56 Angel Barragan,3,10 Nate King,71 Guber,14 Gina Stees,,,
2025-08-27 15:44:39,6,1,0,0,0.34139785,0.50695825,76 Conrad Nguyen,15,,,,20 Ellie Lind,,
2025-08-27 15:48:26,7,1,1,0,0.77150536,0.5675944,47 Penny Wu,3,,,,24 Courtney Rachke,,
2025-08-27 15:49:05,7,2,1,1,0.41666666,0.20874752,32 Sean McSweeney,2,32 Sean McSweeney,47 Penny Wu,19 Emily Molloy,,,
2025-08-27 15:50:13,8,1,0,1,0.27419356,0.78429425,05 Seokhee Burningham,3,08 ManHua Zhu,14 Gina Stees,05 Seokhee Burningham,,,
2025-08-27 15:52:04,10,1,1,0,0.20430107,0.69284296,32 Sean McSweeney,7,,,,47 Penny Wu,,
2025-08-27 15:53:23,10,2,1,0,0.6854839,0.72167,32 Sean McSweeney,6,,,,92 Sam DeVine,,
2025-08-27 15:54:36,10,3,1,0,0.38709676,0.75049704,47 Penny Wu,8,,,,47 Penny Wu,,
2025-08-27 15:56:50,10,4,1,1,0.8360215,0.8141153,47 Penny Wu,4,47 Penny Wu,32 Sean McSweeney,03 Ethan Jones,,,
2025-08-28 11:38:17,12,1,1,0,0.44623655,0.9125249,47 Penny Wu,3,,,,,24 Courtney Rachke,
2025-08-28 11:39:39,12,2,1,1,0.3172043,0.68687874,47 Penny Wu,9,32 Sean McSweeney,47 Penny Wu,03 Ethan Jones,,,
2025-08-28 11:42:20,13,1,0,1,0.18548387,0.82703775,56 Angel Barragan,10,30 Caleb Moran,10 Nate King,17 Anna Martinello,,,
2025-08-28 11:44:54,14,1,0,0,0.38709676,0.8151094,94 Gloria Adeola,2,,,,56 Angel Barragan,,
2025-08-28 11:45:46,15,1,1,1,0.4784946,0.52286285,32 Sean McSweeney,10,47 Penny Wu,19 Emily Molloy,92 Sam DeVine,,,
2025-08-28 11:48:28,16,1,0,0,0.31182796,0.80815107,08 ManHua Zhu,2,,,,30 Caleb Moran,,
2025-08-28 11:49:42,17,1,1,0,0.8010753,0.7833002,47 Penny Wu,5,,,,47 Penny Wu,,
2025-08-28 11:51:02,17,2,1,0,0.5672043,0.694831,19 Emily Molloy,6,,,,47 Penny Wu,,
2025-08-28 11:52:46,17,3,1,0,0.6075269,0.5964215,32 Sean McSweeney,3,,,,24 Courtney Rachke,,
2025-08-28 11:54:02,17,4,1,0,0.05376344,0.34890655,32 Sean McSweeney,2,,,,47 Penny Wu,,
2025-08-28 11:55:28,17,5,1,0,0.8655914,0.7554672,32 Sean McSweeney,2,,,,47 Penny Wu,,
2025-08-28 11:56:14,17,6,1,0,0.01344086,0.70675945,47 Penny Wu,1,,,,47 Penny Wu,,
2025-08-28 11:57:13,18,1,1,1,0.2983871,0.7335984,08 ManHua Zhu,13,14 Gina Stees,08 ManHua Zhu,14 Gina Stees,,,
2025-08-28 11:59:52,19,1,0,0,0.0,0.64314115,76 Conrad Nguyen,3,,,,07 Jake Blatt,,
2025-08-28 12:00:54,19,2,0,0,0.75,0.7365805,76 Conrad Nguyen,2,,,,14 Gina Stees,,
2025-08-28 12:01:55,20,1,1,0,0.36021507,0.79920477,92 Sam DeVine,6,,,,03 Ethan Jones,,
2025-08-28 12:04:07,20,2,1,0,0.4784946,0.776342,03 Ethan Jones,4,,,,32 Sean McSweeney,05 Seokhee Burningham,
2025-08-28 12:06:16,21,1,1,0,0.7419355,0.7445328,10 Nate King,8,,,,56 Angel Barragan,,
