Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-25 11:38:47,1,0,0,0,1,1,2,0,0,0,0,1,30 Caleb Moran,08 ManHua Zhu,14 Gina Stees
2025-08-25 11:40:13,2,1,0,0,0,2,6,2,2,0,1,1,,,
2025-08-25 11:43:25,3,1,1,1,1,1,7,0,0,0,0,0,92 Sam DeVine,47 Penny Wu,
2025-08-25 11:46:06,4,2,1,0,0,1,4,1,1,0,0,1,,,
2025-08-25 11:48:59,5,2,2,1,1,1,9,0,0,0,0,0,03 Ethan Jones,32 Sean McSweeney,03 Ethan Jones
2025-08-25 11:51:45,6,3,2,0,0,0,0,0,0,0,0,0,,,
2025-08-25 11:53:04,7,3,3,1,1,1,4,0,0,0,0,0,05 Seokhee Burningham,32 Sean McSweeney,92 Sam DeVine
2025-08-25 11:54:22,8,4,3,0,0,0,0,0,0,0,0,0,,,
2025-08-25 11:56:29,9,4,4,1,1,1,2,0,0,0,0,0,32 Sean McSweeney,47 Penny Wu,03 Ethan Jones
2025-08-25 11:57:24,10,5,4,0,0,1,2,1,1,1,1,0,,,
2025-08-25 12:10:13,11,5,5,1,1,1,2,0,0,0,0,0,32 Sean McSweeney,92 Sam DeVine,24 Courtney Rachke
2025-08-25 12:11:05,12,6,5,0,1,1,6,0,0,0,0,1,20 Ellie Lind,56 Angel Barragan,71 Guber
2025-08-25 12:19:41,13,7,5,0,0,0,0,0,0,0,0,0,,,
