Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-25 12:31:00,1,0,0,1,1,1,5,0,0,0,0,0,92 Sam DeVine,25 Molly Cowley,03 Ethan Jones
2025-08-25 12:31:56,2,1,0,0,0,1,5,1,0,1,1,0,,,
2025-08-25 12:34:17,3,1,1,1,1,1,4,0,0,0,0,0,19 Emily Molloy,92 Sam DeVine,03 Ethan Jones
2025-08-25 13:02:10,4,2,1,0,0,1,2,1,1,0,0,1,,,
2025-08-25 13:03:38,5,2,2,1,0,3,20,3,2,1,1,1,,,
2025-08-25 13:08:29,6,2,3,1,1,1,12,0,0,0,0,0,56 Angel Barragan,25 Molly Cowley,71 Guber
2025-08-25 13:11:04,7,3,3,0,0,0,0,0,0,0,0,0,,,
2025-08-25 13:21:45,8,3,4,1,1,3,16,2,2,0,1,1,,03 Ethan Jones,05 Seokhee Burningham
2025-08-25 13:26:21,9,4,4,0,0,0,0,0,0,0,0,0,,,
2025-08-25 13:27:10,10,4,5,1,1,2,14,1,0,1,0,1,19 Emily Molloy,47 Penny Wu,24 Courtney Rachke
2025-08-25 13:29:55,11,5,5,0,0,0,0,0,0,0,0,0,,,
