Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-08-25 12:31:26,1,1,1,1,0.5430108,0.7952286,32 Sean McSweeney,5,92 Sam DeVine,25 Molly Cowley,03 Ethan Jones,,,
2025-08-25 12:32:57,2,1,0,0,1.0,0.8310139,10 Nate King,5,,,,,30 Caleb Moran,
2025-08-25 12:34:42,3,1,1,1,0.87096775,0.73459244,32 Sean McSweeney,4,19 Emily Molloy,92 Sam DeVine,03 Ethan Jones,,,
2025-08-25 13:03:21,4,1,0,0,0.19623657,0.80914515,56 Angel Barragan,2,,,,06 Tess Buchanan,,
2025-08-25 13:03:57,5,1,1,0,0.8736559,0.78926444,47 Penny Wu,3,,,,,05 Seokhee Burningham,
2025-08-25 13:05:03,5,2,1,0,0.6075269,0.82306165,47 Penny Wu,12,,,,92 Sam DeVine,,
2025-08-25 13:07:30,5,3,1,0,0.4704301,0.3220676,47 Penny Wu,5,,,,47 Penny Wu,,
2025-08-25 13:09:09,6,1,1,1,0.46505377,0.6978131,10 Nate King,12,56 Angel Barragan,25 Molly Cowley,71 Guber,,,
2025-08-25 13:22:36,8,1,1,0,0.9435484,0.7952286,47 Penny Wu,7,,,,92 Sam DeVine,,
2025-08-25 13:24:22,8,2,1,0,1.0,0.66302186,47 Penny Wu,8,,,,19 Emily Molloy,,
2025-08-25 13:26:17,8,3,1,1,0.3360215,0.3528827,03 Ethan Jones,1,,03 Ethan Jones,05 Seokhee Burningham,,,
2025-08-25 13:27:42,10,1,1,0,0.18010753,0.6212724,32 Sean McSweeney,6,,,,,19 Emily Molloy,
2025-08-25 13:28:56,10,2,1,1,0.16129032,0.8240557,32 Sean McSweeney,8,19 Emily Molloy,47 Penny Wu,24 Courtney Rachke,,,
