Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-27 10:43:50,1,0,0,0,0,0,0,0,0,0,0,0,,,
2025-08-27 10:51:25,2,0,1,1,1,1,8,0,0,0,0,0,47 Penny Wu,24 Courtney Rachke,92 Sam DeVine
2025-08-27 10:53:49,3,1,1,0,0,0,0,0,0,0,0,0,,,
2025-08-27 10:54:34,4,1,2,1,0,1,3,1,1,0,0,0,,,
2025-08-27 10:56:17,5,1,3,1,0,3,14,3,3,0,1,1,,,
2025-08-27 11:01:55,6,1,4,1,0,2,4,2,1,1,1,0,,,
2025-08-27 14:41:20,7,1,5,1,1,1,11,0,0,0,0,0,32 Sean McSweeney,47 Penny Wu,
2025-08-27 14:43:02,8,2,5,0,0,2,5,2,1,1,1,1,,,
2025-08-27 14:44:57,9,2,6,1,1,1,10,0,0,0,0,0,03 Ethan Jones,47 Penny Wu,
2025-08-27 14:47:06,10,3,6,0,0,0,0,0,0,0,0,0,,,
2025-08-27 14:47:43,11,3,7,1,0,2,6,2,2,0,1,0,,,
2025-08-27 14:50:13,12,3,8,1,0,1,3,1,1,0,0,0,,,
2025-08-27 14:51:41,13,3,9,1,1,3,13,2,2,0,1,1,47 Penny Wu,32 Sean McSweeney,92 Sam DeVine
2025-08-27 14:55:35,14,4,9,0,0,0,0,0,0,0,0,0,,,
2025-08-27 14:56:22,15,4,10,1,1,2,17,1,1,0,1,0,19 Emily Molloy,92 Sam DeVine,32 Sean McSweeney
2025-08-27 14:59:36,16,5,10,0,0,0,0,0,0,0,0,0,,,
2025-08-27 15:00:48,17,5,11,1,0,2,3,2,2,0,0,1,,,
2025-08-27 15:02:57,18,5,12,1,0,1,8,1,1,0,0,0,,,
2025-08-27 15:04:55,19,5,13,1,0,0,0,0,0,0,0,0,,,
