Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-08-27 10:51:50,2,1,1,1,0.74731183,0.7664016,47 Penny Wu,8,47 Penny Wu,24 Courtney Rachke,92 Sam DeVine,,,
2025-08-27 10:55:25,4,1,1,0,0.6989247,0.8001988,32 Sean McSweeney,3,,,,47 Penny Wu,,
2025-08-27 10:57:08,5,1,1,0,0.8413978,0.6799205,47 Penny Wu,9,,,,92 Sam DeVine,,
2025-08-27 11:00:05,5,2,1,0,0.11021505,0.5666004,92 Sam DeVine,3,,,,05 Seokhee Burningham,,
2025-08-27 11:01:09,5,3,1,0,0.72043014,0.81809145,47 Penny Wu,2,,,,24 Courtney Rachke,,
2025-08-27 14:39:30,6,1,1,0,0.29301074,0.76938367,10 Nate King,3,,,,10 Nate King,,
2025-08-27 14:40:52,6,2,1,0,0.2715054,0.82803184,71 Guber,1,,,,,08 ManHua Zhu,
2025-08-27 14:41:46,7,1,1,1,0.002688172,0.71769387,32 Sean McSweeney,11,32 Sean McSweeney,47 Penny Wu,,,,
2025-08-27 14:44:02,8,1,0,0,0.26612905,0.41351888,10 Nate King,2,,,,71 Guber,,
2025-08-27 14:44:29,8,2,0,0,0.36290324,0.8240557,10 Nate King,3,,,,,30 Caleb Moran,
2025-08-27 14:45:32,9,1,1,1,0.9435484,0.75149107,47 Penny Wu,10,03 Ethan Jones,47 Penny Wu,,,,
2025-08-27 14:48:06,11,1,1,0,0.20967741,0.7037773,47 Penny Wu,5,,,,05 Seokhee Burningham,,
2025-08-27 14:49:18,11,2,1,0,0.31989247,0.8190855,47 Penny Wu,1,,,,47 Penny Wu,,
2025-08-27 14:50:50,12,1,1,0,0.4919355,0.63717693,08 ManHua Zhu,3,,,,30 Caleb Moran,,
2025-08-27 14:52:04,13,1,1,0,0.51344085,0.6361829,32 Sean McSweeney,4,,,,,,
2025-08-27 14:53:15,13,2,1,0,0.26881722,0.36978132,32 Sean McSweeney,2,,,,47 Penny Wu,,
2025-08-27 14:54:11,13,3,1,1,0.99462366,0.79920477,32 Sean McSweeney,7,47 Penny Wu,32 Sean McSweeney,92 Sam DeVine,,,
2025-08-27 14:56:44,15,1,1,0,0.6451613,0.66202784,32 Sean McSweeney,4,,,,47 Penny Wu,,
2025-08-27 14:57:48,15,2,1,1,0.99731183,0.5487078,32 Sean McSweeney,13,19 Emily Molloy,92 Sam DeVine,32 Sean McSweeney,,,
2025-08-27 15:01:17,17,1,1,0,0.5322581,0.6192843,47 Penny Wu,2,,,,32 Sean McSweeney,,
2025-08-27 15:02:22,17,2,1,0,0.2311828,0.7037773,47 Penny Wu,1,,,,47 Penny Wu,,
2025-08-27 15:03:37,18,1,1,0,0.37903225,0.56560636,10 Nate King,8,,,,08 ManHua Zhu,,
