Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-25 13:32:31,1,0,0,0,0,0,0,0,0,0,0,0,,,
2025-08-27 09:45:39,2,0,1,1,1,1,7,0,0,0,0,0,03 Ethan Jones,24 Courtney Rachke,19 Emily Molloy
2025-08-27 09:47:30,3,1,1,0,0,1,3,1,1,0,1,0,,,
2025-08-27 09:49:30,4,1,2,1,0,3,15,3,3,0,1,1,,,
2025-08-27 09:53:13,5,1,3,1,1,1,5,0,0,0,0,0,30 Caleb Moran,71 Guber,14 Gina Stees
2025-08-27 09:54:44,6,2,3,0,0,0,0,0,0,0,0,0,,,
2025-08-27 09:55:37,7,2,4,1,1,1,5,0,0,0,0,0,32 Sean McSweeney,03 Ethan Jones,19 Emily Molloy
2025-08-27 09:57:17,8,3,4,0,0,0,0,0,0,0,0,0,,,
2025-08-27 09:58:10,9,3,5,1,0,1,3,1,1,0,0,0,,,
2025-08-27 09:59:48,10,3,6,1,0,3,13,3,3,0,0,2,,,
2025-08-27 10:03:33,11,3,7,1,1,1,3,0,0,0,0,0,32 Sean McSweeney,47 Penny Wu,24 Courtney Rachke
2025-08-27 10:10:40,12,4,7,0,0,1,2,1,1,0,0,1,,,
2025-08-27 10:12:29,13,4,8,1,1,2,5,1,0,1,0,1,05 Seokhee Burningham,47 Penny Wu,03 Ethan Jones
2025-08-27 10:15:04,14,5,8,0,0,0,0,0,0,0,0,0,,,
2025-08-27 10:16:00,15,5,9,1,1,3,13,2,2,0,1,1,47 Penny Wu,19 Emily Molloy,24 Courtney Rachke
2025-08-27 10:19:20,16,6,9,0,0,0,0,0,0,0,0,0,,,
2025-08-27 10:20:38,17,6,10,1,1,2,24,1,1,0,1,0,32 Sean McSweeney,47 Penny Wu,19 Emily Molloy
2025-08-27 10:25:29,18,7,10,0,0,0,0,0,0,0,0,0,,,
2025-08-27 10:26:11,19,7,11,1,1,1,9,0,0,0,0,0,17 Anna Martinello,03 Ethan Jones,47 Penny Wu
2025-08-27 10:29:52,20,8,11,0,0,0,0,0,0,0,0,0,,,
2025-08-27 10:30:59,21,8,12,1,0,0,0,0,0,0,0,0,,,
