Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-08-27 09:46:12,2,1,1,1,0.54569894,0.722664,32 Sean McSweeney,7,03 Ethan Jones,24 Courtney Rachke,19 Emily Molloy,,,
2025-08-27 09:48:27,3,1,0,0,0.69623655,0.73459244,10 Nate King,3,,,,08 ManHua Zhu,,
2025-08-27 09:49:51,4,1,1,0,0.2580645,0.90954274,47 Penny Wu,3,,,,47 Penny Wu,,
2025-08-27 09:50:34,4,2,1,0,0.88709676,0.71570575,47 Penny Wu,5,,,,47 Penny Wu,,
2025-08-27 09:51:50,4,3,1,0,0.4516129,0.73956263,32 Sean McSweeney,7,,,,03 Ethan Jones,,
2025-08-27 09:53:52,5,1,1,1,0.8844086,0.806163,10 Nate King,5,30 Caleb Moran,71 Guber,14 Gina Stees,,,
2025-08-27 09:56:23,7,1,1,1,0.672043,0.55069584,32 Sean McSweeney,5,32 Sean McSweeney,03 Ethan Jones,19 Emily Molloy,,,
2025-08-27 09:58:34,9,1,1,0,0.08064516,0.79821074,47 Penny Wu,3,,,,92 Sam DeVine,,
2025-08-27 10:00:25,10,1,1,0,0.28494623,0.7833002,10 Nate King,5,,,,71 Guber,,
2025-08-27 10:01:40,10,2,1,0,0.48118278,0.23260437,14 Gina Stees,6,,,,17 Anna Martinello,,
2025-08-27 10:02:50,10,3,1,0,0.53763443,0.79821074,08 ManHua Zhu,2,,,,10 Nate King,,
2025-08-27 10:10:27,11,1,1,1,1.0,0.27534792,03 Ethan Jones,3,32 Sean McSweeney,47 Penny Wu,24 Courtney Rachke,,,
2025-08-27 10:11:49,12,1,0,0,0.0,0.833002,56 Angel Barragan,2,,,,06 Tess Buchanan,,
2025-08-27 10:13:27,13,1,1,0,0.5591398,0.85685885,32 Sean McSweeney,1,,,,,47 Penny Wu,
2025-08-27 10:14:35,13,2,1,1,0.5510753,0.78926444,47 Penny Wu,4,05 Seokhee Burningham,47 Penny Wu,03 Ethan Jones,,,
2025-08-27 10:17:05,15,1,1,0,0.40053764,0.22862823,,1,,,,,,
2025-08-27 10:17:34,15,2,1,0,0.27688172,0.2475149,32 Sean McSweeney,4,,,,19 Emily Molloy,,
2025-08-27 10:18:28,15,3,1,1,0.9731183,0.8389662,03 Ethan Jones,8,47 Penny Wu,19 Emily Molloy,24 Courtney Rachke,,,
2025-08-27 10:21:30,17,1,1,0,0.63978493,0.916501,32 Sean McSweeney,16,,,,47 Penny Wu,,
2025-08-27 10:24:05,17,2,1,1,0.6666667,0.7872763,92 Sam DeVine,8,32 Sean McSweeney,47 Penny Wu,19 Emily Molloy,,,
2025-08-27 10:26:39,19,1,1,1,0.46774194,0.76938367,47 Penny Wu,9,17 Anna Martinello,03 Ethan Jones,47 Penny Wu,,,
