Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-25 14:44:38,1,0,0,0,0,1,4,1,1,0,1,0,,,
2025-08-25 14:47:24,2,0,1,1,1,1,5,0,0,0,0,0,13 Grace Feehan,31 Abby Shure,17 Rufus Caitlin Duffner
2025-08-25 14:49:19,3,1,1,0,0,0,0,0,0,0,0,0,,,
2025-08-25 14:49:44,4,1,2,1,1,3,16,2,2,0,2,0,13 Grace Feehan,09 Moose Lucy Petersen,31 Abby Shure
2025-08-25 14:53:00,5,2,2,0,0,1,9,1,1,0,1,0,,,
2025-08-25 14:56:29,6,2,3,1,0,1,4,1,0,1,0,0,,,
2025-08-25 14:59:01,7,2,4,1,1,2,3,1,1,0,0,1,,82 Claire Schmitt,29 Jade Hostein
2025-08-25 15:00:42,8,3,4,0,1,2,8,1,1,0,2,0,17 Rufus Caitlin Duffner,06 Kylie Chesner,29 Jade Hostein
2025-08-25 15:05:16,9,4,4,0,0,0,0,0,0,0,0,0,,,
2025-08-25 15:06:07,10,4,5,1,1,1,7,0,0,0,0,0,13 Grace Feehan,72 JJ Jarik,09 Moose Lucy Petersen
2025-08-25 15:07:43,11,5,5,0,1,2,6,1,1,0,1,1,72 JJ Jarik,82 Claire Schmitt,29 Jade Hostein
2025-08-25 15:12:04,12,6,5,0,0,0,0,0,0,0,0,0,,,
2025-08-25 15:13:05,13,6,6,1,1,2,8,1,1,0,0,1,72 JJ Jarik,10 Steph Rupp,18 Kendra Griesman
2025-08-25 15:15:13,14,7,6,1,0,1,6,1,1,0,0,0,,,
2025-08-25 15:17:27,15,7,7,1,1,1,4,0,0,0,0,0,18 Kendra Griesman,82 Claire Schmitt,72 JJ Jarik
2025-08-25 15:18:20,16,8,7,0,0,0,0,0,0,0,0,0,,,
2025-08-25 15:19:54,17,8,8,1,0,1,2,1,1,0,0,0,,,
2025-08-25 15:21:02,18,8,9,1,0,1,5,1,0,1,0,0,,,
2025-08-25 15:22:30,19,8,10,1,1,2,26,1,1,0,0,1,27 Connie Chan,29 Jade Hostein,18 Kendra Griesman
2025-08-25 15:26:40,20,9,10,0,0,0,0,0,0,0,0,0,,,
2025-08-25 15:28:39,21,9,11,1,0,0,0,0,0,0,0,0,,,
