Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-08-25 14:46:37,1,1,0,0,0.5942228,0.8135507,82 Claire Schmitt,4,,,,82 Claire Schmitt,,
2025-08-25 14:48:26,2,1,1,1,0.5543329,0.75802344,05 Anna Thorn,5,13 Grace Feehan,31 Abby Shure,17 Rufus Caitlin Duffner,,,
2025-08-25 14:50:25,4,1,1,0,0.65337,0.72083545,05 Anna Thorn,7,,,,31 Abby Shure,,
2025-08-25 14:51:17,4,2,1,0,0.28943762,0.7516506,10 Steph Rupp,5,,,,31 Abby Shure,,
2025-08-25 14:52:22,4,3,1,1,0.08665754,0.60366786,05 Anna Thorn,4,13 Grace Feehan,09 Moose Lucy Petersen,31 Abby Shure,,,
2025-08-25 14:53:53,5,1,0,0,0.24484177,0.7330616,82 Claire Schmitt,9,,,,29 Jade Hostein,,
2025-08-25 14:57:00,6,1,1,0,0.6712517,0.67396843,88 Catherine Chen,4,,,,,18 Kendra Griesman,
2025-08-25 14:59:47,7,1,1,0,0.9353508,0.6174223,27 Connie Chan,2,,,,88 Catherine Chen,,
2025-08-25 15:00:39,7,2,1,1,0.56121045,0.18,82 Claire Schmitt,1,,82 Claire Schmitt,29 Jade Hostein,,,
2025-08-25 15:03:39,8,1,0,0,0.7606603,0.82272035,82 Claire Schmitt,3,,,,82 Claire Schmitt,,
2025-08-25 15:04:25,8,2,0,1,0.13305902,0.6846115,21 Sowmya Ragothaman,5,17 Rufus Caitlin Duffner,06 Kylie Chesner,29 Jade Hostein,,,
2025-08-25 15:06:44,10,1,1,1,0.5006878,0.64544064,10 Steph Rupp,7,13 Grace Feehan,72 JJ Jarik,09 Moose Lucy Petersen,,,
2025-08-25 15:10:28,11,1,0,0,0.066024736,0.5939888,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-08-25 15:11:13,11,2,0,1,0.2517194,0.24859908,82 Claire Schmitt,5,72 JJ Jarik,82 Claire Schmitt,29 Jade Hostein,,,
2025-08-25 15:13:26,13,1,1,0,0.89958733,0.66428936,05 Anna Thorn,3,,,,05 Anna Thorn,,
2025-08-25 15:14:00,13,2,1,1,0.96561205,0.8344371,10 Steph Rupp,5,72 JJ Jarik,10 Steph Rupp,18 Kendra Griesman,,,
2025-08-25 15:15:53,14,1,1,0,0.5323247,0.6912889,88 Catherine Chen,6,,,,05 Anna Thorn,,
2025-08-25 15:17:52,15,1,1,1,0.3768913,0.6785532,82 Claire Schmitt,4,18 Kendra Griesman,82 Claire Schmitt,72 JJ Jarik,,,
2025-08-25 15:20:11,17,1,1,0,0.75240713,0.8425879,88 Catherine Chen,2,,,,10 Steph Rupp,,
2025-08-25 15:21:30,18,1,1,0,0.22008255,0.7126847,05 Anna Thorn,5,,,,,82 Claire Schmitt,
2025-08-25 15:23:00,19,1,1,0,0.56946355,0.77279675,82 Claire Schmitt,16,,,,82 Claire Schmitt,,
2025-08-25 15:25:30,19,2,1,1,0.31499308,0.83545595,82 Claire Schmitt,10,27 Connie Chan,29 Jade Hostein,18 Kendra Griesman,,,
