Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-09-04 14:29:32,1,0,0,0,1,1,8,0,0,0,1,0,29 Jade Hostein,82 Claire Schmitt,27 Connie Chan
2025-09-04 14:31:42,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-09-04 14:32:27,3,1,1,1,0,1,3,1,1,0,0,0,,,
2025-09-04 14:33:31,4,1,2,1,1,1,16,0,0,0,0,0,31 Abby Shure,88 Catherine Chen,72 JJ Jarik
2025-09-04 14:35:51,5,2,2,0,0,0,0,0,0,0,0,0,,,
2025-09-04 14:37:15,6,2,3,1,1,1,11,0,0,0,0,0,13 Grace Feehan,31 Abby Shure,13 Grace Feehan
2025-09-04 14:39:06,7,3,3,0,0,1,3,1,0,1,0,1,,,
2025-09-04 14:42:42,8,3,4,1,1,2,19,1,1,0,0,1,72 JJ Jarik,05 Anna Thorn,31 Abby Shure
2025-09-04 14:46:23,9,4,4,0,1,2,19,1,1,0,0,2,82 Claire Schmitt,29 Jade Hostein,21 Sowmya Ragothaman
2025-09-04 14:50:16,10,5,4,0,0,0,0,0,0,0,0,0,,,
2025-09-04 14:50:48,11,5,5,1,1,1,24,0,0,0,0,0,17 Rufus Caitlin Duffner,72 JJ Jarik,18 Kendra Griesman
2025-09-04 14:54:31,12,6,5,0,0,1,2,1,0,1,0,1,,,
2025-09-04 14:55:59,13,6,6,1,1,1,16,0,0,0,0,0,05 Anna Thorn,15 Hannah Cheng,05 Anna Thorn
2025-09-04 14:58:44,14,7,6,1,1,3,14,2,2,0,0,2,15 Hannah Cheng,17 Rufus Caitlin Duffner,88 Catherine Chen
2025-09-04 15:03:16,15,8,6,0,1,1,15,0,0,0,0,1,82 Claire Schmitt,07 Annie Phan,06 Kylie Chesner
2025-09-04 15:06:56,16,9,6,0,1,1,17,0,0,0,1,0,21 Sowmya Ragothaman,08 PJ Maddi Lang,21 Sowmya Ragothaman
2025-09-04 15:09:56,17,10,6,0,0,1,3,1,1,0,1,0,,,
2025-09-04 15:16:41,18,10,7,1,0,1,8,1,1,0,0,0,,,
2025-09-04 15:19:21,19,10,8,1,0,2,11,2,2,0,1,0,,,
2025-09-04 15:22:43,20,10,9,1,0,1,15,1,1,0,0,0,,,
2025-09-04 15:28:09,21,10,10,1,1,2,10,1,1,0,0,1,88 Catherine Chen,31 Abby Shure,72 JJ Jarik
2025-09-04 15:31:35,22,11,10,0,0,0,0,0,0,0,0,0,,,
