Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-09-04 14:30:19,1,1,0,1,0.33196154,0.4083291,26 Rhea Joshi,8,29 Jade Hostein,82 Claire Schmitt,27 Connie Chan,,,
2025-09-04 14:32:51,3,1,1,0,0.85006875,0.7931737,05 Anna Thorn,3,,,,17 Rufus Caitlin Duffner,,
2025-09-04 14:34:09,4,1,1,1,0.5790922,0.794702,88 Catherine Chen,16,31 Abby Shure,88 Catherine Chen,72 JJ Jarik,,,
2025-09-04 14:37:47,6,1,1,1,0.58321875,0.68670404,88 Catherine Chen,11,13 Grace Feehan,31 Abby Shure,13 Grace Feehan,,,
2025-09-04 14:41:08,7,1,0,0,0.8473177,0.45950076,07 Annie Phan,3,,,,,27 Connie Chan,
2025-09-04 14:43:16,8,1,1,0,0.7097662,0.74528784,88 Catherine Chen,5,,,,09 Moose Lucy Petersen,,
2025-09-04 14:44:30,8,2,1,1,0.86519945,0.8191544,88 Catherine Chen,14,72 JJ Jarik,05 Anna Thorn,31 Abby Shure,,,
2025-09-04 14:47:09,9,1,0,0,0.7056396,0.35914415,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-09-04 14:48:11,9,2,0,1,0.97386515,0.5980642,82 Claire Schmitt,18,82 Claire Schmitt,29 Jade Hostein,21 Sowmya Ragothaman,,,
2025-09-04 14:51:26,11,1,1,1,0.5034388,0.5756495,10 Steph Rupp,24,17 Rufus Caitlin Duffner,72 JJ Jarik,18 Kendra Griesman,,,
2025-09-04 14:55:11,12,1,0,0,0.6561211,0.8369842,82 Claire Schmitt,2,,,,,07 Annie Phan,
2025-09-04 14:56:21,13,1,1,1,0.34250343,0.5746307,10 Steph Rupp,16,05 Anna Thorn,15 Hannah Cheng,05 Anna Thorn,,,
2025-09-04 14:59:44,14,1,1,0,0.6464924,0.6255731,88 Catherine Chen,7,,,,88 Catherine Chen,,
2025-09-04 15:00:42,14,2,1,0,0.30674005,0.5583291,15 Hannah Cheng,3,,,,72 JJ Jarik,,
2025-09-04 15:01:11,14,3,1,1,0.22833565,0.28731534,13 Grace Feehan,4,15 Hannah Cheng,17 Rufus Caitlin Duffner,88 Catherine Chen,,,
2025-09-04 15:04:20,15,1,0,1,0.9711141,0.62302595,82 Claire Schmitt,15,82 Claire Schmitt,07 Annie Phan,06 Kylie Chesner,,,
2025-09-04 15:07:57,16,1,0,1,0.38545954,0.5490097,29 Jade Hostein,17,21 Sowmya Ragothaman,08 PJ Maddi Lang,21 Sowmya Ragothaman,,,
2025-09-04 15:15:43,17,1,0,0,0.27510315,0.6372898,82 Claire Schmitt,3,,,,82 Claire Schmitt,,
2025-09-04 15:17:15,18,1,1,0,0.24621733,0.72694856,15 Hannah Cheng,8,,,,05 Anna Thorn,,
2025-09-04 15:19:52,19,1,1,0,0.8555708,0.75904226,88 Catherine Chen,8,,,,88 Catherine Chen,,
2025-09-04 15:21:19,19,2,1,0,0.044016507,0.32144678,10 Steph Rupp,3,,,,18 Kendra Griesman,,
2025-09-04 15:23:29,20,1,1,0,0.26685005,0.7030056,05 Anna Thorn,15,,,,27 Connie Chan,,
2025-09-04 15:28:36,21,1,1,0,0.42365888,0.6744778,15 Hannah Cheng,3,,,,88 Catherine Chen,,
2025-09-04 15:30:13,21,2,1,1,0.5089408,0.82526743,15 Hannah Cheng,7,88 Catherine Chen,31 Abby Shure,72 JJ Jarik,,,
