Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-25 13:16:27,1,0,0,0,1,2,11,1,1,0,1,1,08 PJ Maddi Lang,82 Claire Schmitt,27 Connie Chan
2025-08-25 13:20:19,2,1,0,0,1,1,6,0,0,0,1,0,08 PJ Maddi Lang,82 Claire Schmitt,27 Connie Chan
2025-08-25 13:22:23,3,2,0,0,0,3,24,3,3,0,0,3,,,
2025-08-25 13:29:41,4,2,1,1,0,2,15,2,2,0,0,1,,,
2025-08-25 13:32:53,5,2,2,1,1,1,5,0,0,0,0,0,72 JJ Jarik,82 Claire Schmitt,17 Rufus Caitlin Duffner
2025-08-25 13:34:01,6,3,2,0,0,2,8,2,2,0,1,1,,,
2025-08-25 13:38:24,7,3,3,1,0,1,6,1,1,0,0,0,,,
2025-08-25 13:39:39,8,3,4,1,1,1,5,0,0,0,0,0,17 Rufus Caitlin Duffner,82 Claire Schmitt,18 Kendra Griesman
2025-08-25 13:40:49,9,4,4,0,0,0,0,0,0,0,0,0,,,
2025-08-25 13:42:08,10,4,5,1,1,6,23,5,4,2,3,2,09 Moose Lucy Petersen,88 Catherine Chen,31 Abby Shure
2025-08-25 13:50:17,11,5,5,0,1,1,4,0,0,0,0,1,27 Connie Chan,82 Claire Schmitt,29 Jade Hostein
2025-08-25 13:52:25,12,6,5,1,1,1,5,0,0,0,0,0,18 Kendra Griesman,10 Steph Rupp,18 Kendra Griesman
2025-08-25 13:53:29,13,7,5,0,0,1,3,1,1,0,0,1,,,
2025-08-25 13:55:40,14,7,6,1,1,1,14,0,0,0,0,0,09 Moose Lucy Petersen,18 Kendra Griesman,05 Anna Thorn
2025-08-25 13:58:05,15,8,6,0,0,0,0,0,0,0,0,0,,,
2025-08-25 13:58:55,16,8,7,1,0,2,9,2,2,0,1,0,,,
2025-08-25 14:00:48,17,8,8,1,0,2,3,2,2,0,1,0,,,
2025-08-25 14:03:13,18,8,9,1,1,2,13,1,0,1,0,1,,82 Claire Schmitt,17 Rufus Caitlin Duffner
2025-08-25 14:05:47,19,9,9,0,0,2,14,2,2,0,0,2,,,
2025-08-25 14:10:11,20,9,10,1,1,1,13,0,0,0,0,0,10 Steph Rupp,05 Anna Thorn,72 JJ Jarik
2025-08-25 14:11:46,21,10,10,0,0,0,0,0,0,0,0,0,,,
2025-08-25 14:13:08,22,10,11,1,0,0,0,0,0,0,0,0,,,
