Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-08-25 13:17:40,1,1,0,0,0.79092157,0.8369842,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-08-25 13:19:00,1,2,0,1,0.3259973,0.73102397,07 Annie Phan,10,08 PJ Maddi Lang,82 Claire Schmitt,27 Connie Chan,,,
2025-08-25 13:21:43,2,1,0,1,0.54607975,0.4452369,82 Claire Schmitt,6,08 PJ Maddi Lang,82 Claire Schmitt,27 Connie Chan,,,
2025-08-25 13:23:17,3,1,0,0,0.048143055,0.6352522,82 Claire Schmitt,9,,,,11 Letty Ho,,
2025-08-25 13:25:41,3,2,0,0,0.2407153,0.82475805,82 Claire Schmitt,4,,,,23 Marie Zarazoga,,
2025-08-25 13:27:43,3,3,0,0,0.4662999,0.82934284,82 Claire Schmitt,11,,,,07 Annie Phan,,
2025-08-25 13:30:07,4,1,1,0,0.69325995,0.6785532,15 Hannah Cheng,12,,,,31 Abby Shure,,
2025-08-25 13:31:49,4,2,1,0,0.31774414,0.57208353,72 JJ Jarik,3,,,,15 Hannah Cheng,,
2025-08-25 13:33:19,5,1,1,1,0.47730398,0.64340293,10 Steph Rupp,5,72 JJ Jarik,82 Claire Schmitt,17 Rufus Caitlin Duffner,,,
2025-08-25 13:36:20,6,1,0,0,0.20770285,0.81762606,82 Claire Schmitt,3,,,,82 Claire Schmitt,,
2025-08-25 13:37:19,6,2,0,0,0.5089408,0.38053998,82 Claire Schmitt,5,,,,82 Claire Schmitt,,
2025-08-25 13:39:03,7,1,1,0,0.74002755,0.71217525,05 Anna Thorn,6,,,,15 Hannah Cheng,,
2025-08-25 13:40:08,8,1,1,1,0.70976615,0.7259297,82 Claire Schmitt,5,17 Rufus Caitlin Duffner,82 Claire Schmitt,18 Kendra Griesman,,,
2025-08-25 13:42:34,10,1,1,0,0.2984869,0.7218543,88 Catherine Chen,2,,,,05 Anna Thorn,,
2025-08-25 13:44:09,10,2,1,0,0.34112793,0.8140601,05 Anna Thorn,9,,,,31 Abby Shure,,
2025-08-25 13:46:04,10,3,1,0,0.2173315,0.26490065,15 Hannah Cheng,1,,,,15 Hannah Cheng,88 Catherine Chen,
2025-08-25 13:47:25,10,4,1,0,0.9504814,0.6948548,15 Hannah Cheng,2,,,,,13 Grace Feehan,
2025-08-25 13:48:52,10,5,1,0,0.70839065,0.36525723,05 Anna Thorn,4,,,,15 Hannah Cheng,,
2025-08-25 13:49:42,10,6,1,1,0.34112793,0.23127866,05 Anna Thorn,5,09 Moose Lucy Petersen,88 Catherine Chen,31 Abby Shure,,,
2025-08-25 13:51:22,11,1,0,1,0.7510317,0.5914417,82 Claire Schmitt,4,27 Connie Chan,82 Claire Schmitt,29 Jade Hostein,,,
2025-08-25 13:52:57,12,1,1,1,0.68638235,0.6479878,05 Anna Thorn,5,18 Kendra Griesman,10 Steph Rupp,18 Kendra Griesman,,,
2025-08-25 13:54:24,13,1,0,0,0.08253099,0.42893532,07 Annie Phan,3,,,,07 Annie Phan,,
2025-08-25 13:56:09,14,1,1,1,0.024759265,0.63015795,10 Steph Rupp,14,09 Moose Lucy Petersen,18 Kendra Griesman,05 Anna Thorn,,,
2025-08-25 13:59:27,16,1,1,0,0.29436034,0.7182883,05 Anna Thorn,4,,,,72 JJ Jarik,,
2025-08-25 14:00:20,16,2,1,0,0.33196154,0.698324,17 Rufus Caitlin Duffner,5,,,,05 Anna Thorn,,
2025-08-25 14:01:19,17,1,1,0,0.49656123,0.6357616,10 Steph Rupp,2,,,,82 Claire Schmitt,,
2025-08-25 14:02:36,17,2,1,0,0.7111417,0.4223128,10 Steph Rupp,1,,,,10 Steph Rupp,,
2025-08-25 14:03:44,18,1,1,0,0.75928473,0.62302595,10 Steph Rupp,12,,,,,29 Jade Hostein,
2025-08-25 14:05:42,18,2,1,1,0.06189819,0.3993887,82 Claire Schmitt,1,,82 Claire Schmitt,17 Rufus Caitlin Duffner,,,
2025-08-25 14:07:32,19,1,0,0,0.696011,0.6464595,82 Claire Schmitt,3,,,,27 Connie Chan,,
2025-08-25 14:08:38,19,2,0,0,0.2503439,0.7712685,15 Hannah Cheng,11,,,,08 PJ Maddi Lang,,
2025-08-25 14:10:35,20,1,1,1,0.5639615,0.74172187,88 Catherine Chen,13,10 Steph Rupp,05 Anna Thorn,72 JJ Jarik,,,
