Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-22 15:15:22,1,0,0,1,1,1,9,0,0,0,0,0,13 Grace Feehan,72 JJ Jarik,13 Grace Feehan
2025-08-22 15:18:52,2,1,0,0,0,1,8,1,1,0,0,1,,,
2025-08-22 15:21:15,3,1,1,1,1,5,32,4,4,0,2,2,31 Abby Shure,88 Catherine Chen,31 Abby Shure
2025-08-22 15:28:44,4,2,1,0,0,0,0,0,0,0,0,0,,,
2025-08-22 15:30:23,5,2,2,1,1,1,15,0,0,0,0,0,10 Steph Rupp,05 Anna Thorn,17 Rufus Caitlin Duffner
2025-08-22 15:32:45,6,3,2,0,0,0,0,0,0,0,0,0,,,
2025-08-22 15:34:28,7,3,3,1,1,1,13,0,0,0,0,0,17 Rufus Caitlin Duffner,05 Anna Thorn,31 Abby Shure
2025-08-22 15:36:49,8,4,3,0,0,0,0,0,0,0,0,0,,,
2025-08-22 15:37:52,9,4,4,1,1,1,4,0,0,0,0,0,09 Moose Lucy Petersen,10 Steph Rupp,09 Moose Lucy Petersen
2025-08-22 15:39:02,10,5,4,0,0,0,0,0,0,0,0,0,,,
2025-08-22 15:40:29,11,5,5,1,1,1,20,0,0,0,0,0,17 Rufus Caitlin Duffner,31 Abby Shure,15 Hannah Cheng
2025-08-22 15:43:15,12,6,5,0,0,0,0,0,0,0,0,0,,,
2025-08-22 15:45:12,13,6,6,1,1,1,3,0,0,0,0,0,10 Steph Rupp,72 JJ Jarik,09 Moose Lucy Petersen
2025-08-22 15:46:31,14,7,6,0,1,2,8,1,1,0,0,2,,82 Claire Schmitt,08 PJ Maddi Lang
2025-08-22 15:49:44,15,8,6,0,0,2,6,2,2,0,1,1,,,
2025-08-22 15:54:40,16,8,7,1,1,2,9,1,1,0,1,0,10 Steph Rupp,72 JJ Jarik,10 Steph Rupp
2025-08-25 12:34:52,17,9,7,0,0,0,0,0,0,0,0,0,,,
2025-08-25 12:38:11,18,9,8,0,1,2,10,1,0,1,0,2,82 Claire Schmitt,26 Rhea Joshi,99 Dana Demmert
2025-08-25 12:41:43,19,10,8,0,1,2,27,1,1,0,0,2,21 Sowmya Ragothaman,12 Lizzie Tilden,06 Kylie Chesner
2025-08-25 12:48:50,20,11,8,0,1,1,14,0,0,0,1,0,07 Annie Phan,82 Claire Schmitt,27 Connie Chan
2025-08-25 12:54:08,21,12,8,0,0,0,0,0,0,0,0,0,,,
2025-08-25 12:58:18,22,12,9,1,1,1,5,0,0,0,0,0,17 Rufus Caitlin Duffner,88 Catherine Chen,17 Rufus Caitlin Duffner
2025-08-25 12:59:45,23,13,9,0,0,0,0,0,0,0,0,0,,,
