Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-08-22 15:17:20,1,1,1,1,0.90784043,0.7172695,10 Steph Rupp,9,13 Grace Feehan,72 JJ Jarik,13 Grace Feehan,,,
2025-08-22 15:19:50,2,1,0,0,0.34525448,0.83138055,82 Claire Schmitt,8,,,,29 Jade Hostein,,
2025-08-22 15:22:09,3,1,1,0,0.49931222,0.7131941,10 Steph Rupp,4,,,,72 JJ Jarik,,
2025-08-22 15:23:29,3,2,1,0,0.74415404,0.38665307,10 Steph Rupp,6,,,,15 Hannah Cheng,,
2025-08-22 15:24:25,3,3,1,0,0.51169187,0.8191543,15 Hannah Cheng,1,,,,15 Hannah Cheng,,
2025-08-22 15:25:11,3,4,1,0,0.25309488,0.821192,15 Hannah Cheng,11,,,,72 JJ Jarik,,
2025-08-22 15:27:28,3,5,1,1,0.7009602,0.5459624,17 Rufus Caitlin Duffner,10,31 Abby Shure,88 Catherine Chen,31 Abby Shure,,,
2025-08-22 15:31:16,5,1,1,1,0.69325995,0.7300051,88 Catherine Chen,15,10 Steph Rupp,05 Anna Thorn,17 Rufus Caitlin Duffner,,,
2025-08-22 15:35:16,7,1,1,1,0.6726272,0.6765155,88 Catherine Chen,13,17 Rufus Caitlin Duffner,05 Anna Thorn,31 Abby Shure,,,
2025-08-22 15:38:18,9,1,1,1,0.51856947,0.63270503,10 Steph Rupp,4,09 Moose Lucy Petersen,10 Steph Rupp,09 Moose Lucy Petersen,,,
2025-08-22 15:41:16,11,1,1,1,0.53507566,0.75904226,15 Hannah Cheng,20,17 Rufus Caitlin Duffner,31 Abby Shure,15 Hannah Cheng,,,
2025-08-22 15:45:49,13,1,1,1,0.66024756,0.64085585,05 Anna Thorn,3,10 Steph Rupp,72 JJ Jarik,09 Moose Lucy Petersen,,,
2025-08-22 15:48:02,14,1,0,0,0.07015135,0.8267957,82 Claire Schmitt,7,,,,82 Claire Schmitt,,
2025-08-22 15:49:39,14,2,0,1,0.650619,0.19816609,82 Claire Schmitt,1,,82 Claire Schmitt,08 PJ Maddi Lang,,,
2025-08-22 15:51:40,15,1,0,0,0.5488308,0.81864494,82 Claire Schmitt,2,,,,27 Connie Chan,,
2025-08-22 15:53:25,15,2,0,0,0.9587345,0.66632706,82 Claire Schmitt,4,,,,82 Claire Schmitt,,
2025-08-25 12:33:10,16,1,1,0,0.91334254,0.5827815,15 Hannah Cheng,6,,,,15 Hannah Cheng,,
2025-08-25 12:34:36,16,2,1,1,0.866575,0.34029546,05 Anna Thorn,3,10 Steph Rupp,72 JJ Jarik,10 Steph Rupp,,,
2025-08-25 12:39:36,18,1,0,0,0.76753783,0.52725416,82 Claire Schmitt,8,,,,,29 Jade Hostein,
2025-08-25 12:41:30,18,2,0,1,0.24621733,0.4666327,82 Claire Schmitt,2,82 Claire Schmitt,26 Rhea Joshi,99 Dana Demmert,,,
2025-08-25 12:43:12,19,1,0,0,0.9160936,0.62710136,07 Annie Phan,2,,,,12 Lizzie Tilden,,
2025-08-25 12:44:34,19,2,0,1,0.16506194,0.8267957,07 Annie Phan,25,21 Sowmya Ragothaman,12 Lizzie Tilden,06 Kylie Chesner,,,
2025-08-25 12:50:40,20,1,0,1,0.32187068,0.8267957,82 Claire Schmitt,14,07 Annie Phan,82 Claire Schmitt,27 Connie Chan,,,
2025-08-25 12:58:58,22,1,1,1,0.71114165,0.7177789,05 Anna Thorn,5,17 Rufus Caitlin Duffner,88 Catherine Chen,17 Rufus Caitlin Duffner,,,
