Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-09-04 16:16:33,1,0,0,0,1,2,26,1,0,1,0,2,29 Jade Hostein,82 Claire Schmitt,27 Connie Chan
2025-09-04 16:21:25,2,1,0,0,1,5,34,4,3,1,0,5,41 Avery Mullen,07 Annie Phan,99 Dana Demmert
2025-09-04 16:30:26,3,2,0,0,1,2,8,1,1,0,2,0,08 PJ Maddi Lang,27 Connie Chan,17 Rufus Caitlin Duffner
2025-09-04 16:32:49,4,3,0,0,1,1,5,0,0,0,0,1,41 Avery Mullen,82 Claire Schmitt,26 Rhea Joshi
2025-09-04 16:34:32,5,4,0,0,0,0,0,0,0,0,0,0,,,
2025-09-04 16:36:26,6,4,1,1,1,1,11,0,0,0,0,0,17 Rufus Caitlin Duffner,05 Anna Thorn,17 Rufus Caitlin Duffner
2025-09-04 16:38:00,7,5,1,0,0,0,0,0,0,0,0,0,,,
2025-09-04 16:39:26,8,5,2,1,1,1,10,0,0,0,0,0,88 Catherine Chen,72 JJ Jarik,17 Rufus Caitlin Duffner
2025-09-04 16:41:09,9,6,2,0,0,0,0,0,0,0,0,0,,,
2025-09-04 16:43:10,10,6,3,1,1,5,30,4,4,0,2,2,05 Anna Thorn,10 Steph Rupp,17 Rufus Caitlin Duffner
2025-09-04 16:49:58,11,7,3,0,0,0,0,0,0,0,0,0,,,
2025-09-04 16:53:58,12,7,4,1,0,1,20,1,1,0,0,0,,,
2025-09-04 17:10:47,13,7,5,1,1,1,12,0,0,0,0,0,17 Rufus Caitlin Duffner,27 Connie Chan,17 Rufus Caitlin Duffner
2025-09-04 17:13:03,14,8,5,1,1,4,16,3,3,0,2,1,,31 Abby Shure,13 Grace Feehan
2025-09-04 17:18:53,15,9,5,0,0,0,0,0,0,0,0,0,,,
2025-09-04 17:24:02,16,9,6,1,0,3,14,3,3,0,1,1,,,
2025-09-04 17:30:36,17,9,7,1,0,4,17,4,4,0,2,1,,,
2025-09-04 17:37:05,18,9,8,1,1,2,12,1,1,0,0,1,29 Jade Hostein,10 Steph Rupp,29 Jade Hostein
2025-09-04 17:41:43,19,10,8,0,0,0,0,0,0,0,0,0,,,
