Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-09-04 16:17:45,1,1,0,0,0.3259973,0.83545595,82 Claire Schmitt,5,,,,,29 Jade Hostein,
2025-09-04 16:19:09,1,2,0,1,0.8046768,0.8242486,82 Claire Schmitt,21,29 Jade Hostein,82 Claire Schmitt,27 Connie Chan,,,
2025-09-04 16:22:25,2,1,0,0,0.258597,0.40346408,07 Annie Phan,11,,,,99 Dana Demmert,,
2025-09-04 16:23:49,2,2,0,0,0.0,0.29342842,12 Lizzie Tilden,18,,,,,12 Lizzie Tilden,
2025-09-04 16:26:38,2,3,0,0,0.17469047,0.5776872,07 Annie Phan,1,,,,07 Annie Phan,,
2025-09-04 16:28:06,2,4,0,0,0.7125172,0.35048395,12 Lizzie Tilden,2,,,,99 Dana Demmert,,
2025-09-04 16:29:50,2,5,0,1,0.6244841,0.31074885,41 Avery Mullen,2,41 Avery Mullen,07 Annie Phan,99 Dana Demmert,,,
2025-09-04 16:31:14,3,1,0,0,0.8115543,0.77075905,17 Rufus Caitlin Duffner,4,,,,27 Connie Chan,,
2025-09-04 16:32:09,3,2,0,1,0.6886146,0.54748607,82 Claire Schmitt,4,08 PJ Maddi Lang,27 Connie Chan,17 Rufus Caitlin Duffner,,,
2025-09-04 16:33:32,4,1,0,1,0.26960105,0.3331635,82 Claire Schmitt,5,41 Avery Mullen,82 Claire Schmitt,26 Rhea Joshi,,,
2025-09-04 16:36:58,6,1,1,1,0.2984869,0.63678044,05 Anna Thorn,11,17 Rufus Caitlin Duffner,05 Anna Thorn,17 Rufus Caitlin Duffner,,,
2025-09-04 16:40:00,8,1,1,1,0.25447044,0.66428936,15 Hannah Cheng,10,88 Catherine Chen,72 JJ Jarik,17 Rufus Caitlin Duffner,,,
2025-09-04 16:43:36,10,1,1,0,0.48968363,0.6245542,10 Steph Rupp,11,,,,09 Moose Lucy Petersen,,
2025-09-04 16:45:30,10,2,1,0,0.5006877,0.7712685,05 Anna Thorn,12,,,,31 Abby Shure,,
2025-09-04 16:47:35,10,3,1,0,0.6712517,0.33112583,10 Steph Rupp,1,,,,10 Steph Rupp,,
2025-09-04 16:48:23,10,4,1,0,0.63686377,0.3998981,05 Anna Thorn,1,,,,05 Anna Thorn,,
2025-09-04 16:49:17,10,5,1,1,0.40577713,0.3138054,31 Abby Shure,5,05 Anna Thorn,10 Steph Rupp,17 Rufus Caitlin Duffner,,,
2025-09-04 17:07:24,12,1,1,0,0.3906465,0.656648,05 Anna Thorn,20,,,,17 Rufus Caitlin Duffner,,
2025-09-04 17:11:25,13,1,1,1,0.1458047,0.67040247,05 Anna Thorn,12,17 Rufus Caitlin Duffner,27 Connie Chan,17 Rufus Caitlin Duffner,,,
2025-09-04 17:13:47,14,1,1,0,0.9312242,0.60774326,15 Hannah Cheng,3,,,,05 Anna Thorn,,
2025-09-04 17:15:33,14,2,1,0,0.2345679,0.6241747,13 Grace Feehan,7,,,,09 Moose Lucy Petersen,,
2025-09-04 17:16:37,14,3,1,0,0.264099,0.8237392,10 Steph Rupp,5,,,,31 Abby Shure,,
2025-09-04 17:18:38,14,4,1,1,0.07290234,0.35710645,31 Abby Shure,1,,31 Abby Shure,13 Grace Feehan,,,
2025-09-04 17:24:55,16,1,1,0,0.6354883,0.6586857,88 Catherine Chen,2,,,,10 Steph Rupp,,
2025-09-04 17:26:24,16,2,1,0,0.031636864,0.7096281,15 Hannah Cheng,8,,,,72 JJ Jarik,,
2025-09-04 17:29:38,16,3,1,0,0.7634113,0.68670404,10 Steph Rupp,4,,,,15 Hannah Cheng,,
2025-09-04 17:31:19,17,1,1,0,0.7015131,0.72287315,15 Hannah Cheng,4,,,,82 Claire Schmitt,,
2025-09-04 17:32:43,17,2,1,0,0.3645117,0.8222109,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-09-04 17:33:15,17,3,1,0,0.3094911,0.83189,15 Hannah Cheng,11,,,,09 Moose Lucy Petersen,,
2025-09-04 17:35:22,17,4,1,0,0.31636864,0.82934284,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-09-04 17:37:43,18,1,1,0,0.49793673,0.6403464,82 Claire Schmitt,7,,,,17 Rufus Caitlin Duffner,,
2025-09-04 17:40:54,18,2,1,1,0.6231086,0.83138055,82 Claire Schmitt,5,29 Jade Hostein,10 Steph Rupp,29 Jade Hostein,,,
