Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-14 02:07:30,1,0,0,0,0,0,0,0,0,0,0,0,,,
2025-07-14 02:12:31,2,0,1,1,1,1,16,0,0,0,0,0,10 Steph Rupp,15 Hannah Cheng,13 Grace Feehan
2025-07-14 02:17:53,3,1,1,0,0,0,0,0,0,0,0,0,,,
2025-07-14 02:19:35,4,1,2,1,0,1,1,1,1,1,0,0,,,
2025-07-14 02:22:00,5,1,3,1,1,3,10,2,2,0,1,1,10 Steph Rupp,15 Hannah Cheng,18 Kendra Griesman
2025-07-14 21:11:02,6,2,3,0,1,1,5,0,0,0,1,0,29 Jade Hostein,82 Claire Schmitt,27 Connie Chan
2025-07-14 21:13:43,7,3,3,0,1,1,4,0,0,0,0,1,29 Jade Hostein,82 Claire Schmitt,29 Jade Hostein
2025-07-14 21:16:42,8,4,3,0,0,5,22,5,5,1,0,5,,,
2025-07-14 21:26:59,9,4,4,1,0,1,3,1,1,0,0,0,,,
2025-07-14 21:29:28,10,4,5,1,1,2,16,1,1,0,0,1,15 Hannah Cheng,10 Steph Rupp,72 JJ Jarik
2025-07-14 21:33:01,11,5,5,0,1,1,6,0,0,0,0,1,06 Kylie Chesner,82 Claire Schmitt,27 Connie Chan
2025-07-14 21:37:26,12,6,5,1,1,2,10,1,1,0,1,0,18 Kendra Griesman,88 Catherine Chen,24 Anna Stubbs
2025-07-14 21:45:23,13,7,5,0,1,2,8,1,1,0,1,1,06 Kylie Chesner,82 Claire Schmitt,99 Dana Demmert
2025-07-14 21:51:20,14,8,5,0,0,0,0,0,0,0,0,0,,,
2025-07-14 21:56:13,15,8,6,1,1,1,12,0,0,0,0,0,72 JJ Jarik,09 Moose Lucy Petersen,15 Hannah Cheng
2025-07-14 21:59:18,16,9,6,0,0,0,0,0,0,0,0,0,,,
2025-07-14 22:40:01,17,9,7,1,1,1,11,0,0,0,0,0,18 Kendra Griesman,10 Steph Rupp,18 Kendra Griesman
2025-07-14 22:43:09,18,10,7,0,0,0,0,0,0,0,0,0,,,
