Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-14 02:15:31,2,1,1,1,0.2723521,0.578706,88 Catherine Chen,16,10 Steph Rupp,15 Hannah Cheng,13 Grace Feehan,,,
2025-07-14 02:20:21,4,1,1,0,0.51306736,0.6439124,05 Anna Thorn,1,,,,05 Anna Thorn,17 Rufus Caitlin Duffner,
2025-07-14 21:05:53,5,1,1,0,0.7592848,0.68670404,88 Catherine Chen,6,,,,10 Steph Rupp,,
2025-07-14 21:07:26,5,2,1,0,0.69326,0.5333673,10 Steph Rupp,2,,,,72 JJ Jarik,,
2025-07-14 21:10:52,5,3,1,1,0.05364516,0.3723892,10 Steph Rupp,2,10 Steph Rupp,15 Hannah Cheng,18 Kendra Griesman,,,
2025-07-14 21:13:03,6,1,0,1,0.6038514,0.6821192,07 Annie Phan,5,29 Jade Hostein,82 Claire Schmitt,27 Connie Chan,,,
2025-07-14 21:16:09,7,1,0,1,0.735901,0.5756495,82 Claire Schmitt,4,29 Jade Hostein,82 Claire Schmitt,29 Jade Hostein,,,
2025-07-14 21:18:00,8,1,0,0,0.6038514,0.39887926,82 Claire Schmitt,3,,,,82 Claire Schmitt,,
2025-07-14 21:19:08,8,2,0,0,0.31911963,0.61895055,12 Lizzie Tilden,4,,,,95 Bug Elena Dansdill,,
2025-07-14 21:20:09,8,3,0,0,0.24896832,0.6046867,82 Claire Schmitt,10,,,,82 Claire Schmitt,,
2025-07-14 21:23:15,8,4,0,0,0.34250343,0.6245542,82 Claire Schmitt,3,,,,99 Dana Demmert,,
2025-07-14 21:25:36,8,5,0,0,0.7303989,0.8257769,82 Claire Schmitt,2,,,,23 Marie Zarazoga,27 Connie Chan,
2025-07-14 21:27:45,9,1,1,0,0.7180193,0.6107998,88 Catherine Chen,3,,,,72 JJ Jarik,,
2025-07-14 21:30:15,10,1,1,0,0.020632716,0.69943964,21 Sowmya Ragothaman,10,,,,13 Grace Feehan,,
2025-07-14 21:32:11,10,2,1,1,0.066024736,0.45899135,10 Steph Rupp,6,15 Hannah Cheng,10 Steph Rupp,72 JJ Jarik,,,
2025-07-14 21:36:27,11,1,0,1,0.6781293,0.841569,82 Claire Schmitt,6,06 Kylie Chesner,82 Claire Schmitt,27 Connie Chan,,,
2025-07-14 21:41:22,12,1,1,0,0.69463545,0.6235354,88 Catherine Chen,8,,,,88 Catherine Chen,,
2025-07-14 21:45:17,12,2,1,1,0.3136176,0.3764646,18 Kendra Griesman,2,18 Kendra Griesman,88 Catherine Chen,24 Anna Stubbs,,,
2025-07-14 21:48:47,13,1,0,0,0.6368638,0.8267957,82 Claire Schmitt,4,,,,29 Jade Hostein,,
2025-07-14 21:49:47,13,2,0,1,0.7345255,0.8298523,82 Claire Schmitt,4,06 Kylie Chesner,82 Claire Schmitt,99 Dana Demmert,,,
2025-07-14 21:56:44,15,1,1,1,0.34112793,0.7422313,21 Sowmya Ragothaman,12,72 JJ Jarik,09 Moose Lucy Petersen,15 Hannah Cheng,,,
2025-07-14 22:41:09,17,1,1,1,0.88995874,0.7340805,15 Hannah Cheng,11,18 Kendra Griesman,10 Steph Rupp,18 Kendra Griesman,,,
