Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-22 16:07:16,1,0,0,0,0,1,5,1,0,1,1,0,,,
2025-07-22 16:11:37,2,0,1,1,1,3,15,2,2,0,0,2,10 Steph Rupp,72 JJ Jarik,21 Sowmya Ragothaman
2025-07-22 16:15:52,3,1,1,0,0,0,0,0,0,0,0,0,,,
2025-07-22 16:17:03,4,1,2,1,1,2,12,1,1,0,1,0,10 Steph Rupp,05 Anna Thorn,18 Kendra Griesman
2025-07-22 16:20:33,5,2,2,0,0,0,0,0,0,0,0,0,,,
2025-07-22 16:21:51,6,2,3,1,1,1,6,0,0,0,0,0,24 Anna Stubbs,88 Catherine Chen,09 Moose Lucy Petersen
2025-07-22 16:24:26,7,3,3,0,0,2,3,2,1,1,0,2,,,
2025-07-22 16:28:44,8,3,4,1,1,1,1,0,0,0,0,0,,,
2025-07-22 16:28:50,9,4,4,0,1,1,3,0,0,0,1,0,29 Jade Hostein,06 Kylie Chesner,41 Avery Mullen
2025-07-22 16:30:18,10,5,4,0,0,4,25,4,4,0,1,3,,,
2025-07-22 16:41:11,11,5,5,1,1,3,11,2,2,1,2,0,05 Anna Thorn,88 Catherine Chen,18 Kendra Griesman
2025-07-22 16:44:45,12,6,5,0,0,0,0,0,0,0,0,0,,,
2025-07-22 16:45:55,13,6,6,1,1,1,6,0,0,0,0,0,21 Sowmya Ragothaman,10 Steph Rupp,18 Kendra Griesman
2025-07-22 16:47:24,14,7,6,0,1,1,17,0,0,0,1,0,18 Kendra Griesman,24 Anna Stubbs,18 Kendra Griesman
2025-07-22 16:52:14,15,8,6,0,0,0,0,0,0,0,0,0,,,
2025-07-22 16:53:46,16,8,7,1,1,2,11,1,1,0,0,1,72 JJ Jarik,13 Grace Feehan,17 Rufus Caitlin Duffner
2025-07-22 16:56:38,17,9,7,0,0,0,0,0,0,0,0,0,,,
2025-07-22 16:59:14,18,9,8,1,0,1,10,1,1,0,0,0,,,
2025-07-22 17:01:25,19,9,9,1,1,1,4,0,0,0,0,0,10 Steph Rupp,88 Catherine Chen,18 Kendra Griesman
2025-07-22 17:02:59,20,10,9,0,0,0,0,0,0,0,0,0,,,
2025-07-22 17:04:59,21,10,10,1,0,1,4,1,1,0,0,0,,,
2025-07-22 17:07:51,22,10,11,1,0,1,1,1,1,1,0,0,,,
2025-07-22 17:10:53,23,10,12,1,0,0,0,0,0,0,0,0,,,
