Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-22 16:09:06,1,1,0,0,0.3507566,0.18,82 Claire Schmitt,5,,,,,07 Annie Phan,
2025-07-22 16:12:09,2,1,1,0,0.68225586,0.6423841,10 Steph Rupp,7,,,,18 Kendra Griesman,,
2025-07-22 16:13:37,2,2,1,0,0.82118297,0.61436576,10 Steph Rupp,3,,,,08 PJ Maddi Lang,,
2025-07-22 16:15:07,2,3,1,1,0.2173315,0.6255731,08 PJ Maddi Lang,5,10 Steph Rupp,72 JJ Jarik,21 Sowmya Ragothaman,,,
2025-07-22 16:17:38,4,1,1,0,0.87070155,0.69281715,88 Catherine Chen,9,,,,13 Grace Feehan,,
2025-07-22 16:20:08,4,2,1,1,0.41540578,0.28578705,05 Anna Thorn,3,10 Steph Rupp,05 Anna Thorn,18 Kendra Griesman,,,
2025-07-22 16:23:41,6,1,1,1,0.6795048,0.72287315,21 Sowmya Ragothaman,6,24 Anna Stubbs,88 Catherine Chen,09 Moose Lucy Petersen,,,
2025-07-22 16:26:04,7,1,0,0,0.69463545,0.7682119,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-07-22 16:26:45,7,2,0,0,0.024759265,0.4355578,82 Claire Schmitt,2,,,,,,
2025-07-22 16:28:49,8,1,1,1,0.5254471,0.5308202,,1,,,,,,
2025-07-22 16:29:43,9,1,0,1,0.09353507,0.40040752,82 Claire Schmitt,3,29 Jade Hostein,06 Kylie Chesner,41 Avery Mullen,,,
2025-07-22 16:31:28,10,1,0,0,0.8033012,0.43352014,12 Lizzie Tilden,7,,,,06 Kylie Chesner,,
2025-07-22 16:33:37,10,2,0,0,0.96011007,0.8201732,07 Annie Phan,1,,,,07 Annie Phan,,
2025-07-22 16:34:46,10,3,0,0,0.2764787,0.82272035,12 Lizzie Tilden,15,,,,26 Rhea Joshi,,
2025-07-22 16:39:32,10,4,0,0,0.6781293,0.7677025,10 Steph Rupp,2,,,,12 Lizzie Tilden,,
2025-07-22 16:42:19,11,1,1,0,0.49381018,0.56546104,,1,,,,,,
2025-07-22 16:42:35,11,2,1,0,0.09903712,0.3749363,05 Anna Thorn,7,,,,05 Anna Thorn,,
2025-07-22 16:44:28,11,3,1,1,0.045392,0.4793683,88 Catherine Chen,3,05 Anna Thorn,88 Catherine Chen,18 Kendra Griesman,,,
2025-07-22 16:46:38,13,1,1,1,0.40715268,0.68262863,21 Sowmya Ragothaman,6,21 Sowmya Ragothaman,10 Steph Rupp,18 Kendra Griesman,,,
2025-07-22 16:49:13,14,1,0,1,0.74965614,0.5960265,10 Steph Rupp,17,18 Kendra Griesman,24 Anna Stubbs,18 Kendra Griesman,,,
2025-07-22 16:54:19,16,1,1,0,0.75515825,0.75598574,88 Catherine Chen,7,,,,72 JJ Jarik,,
2025-07-22 16:55:32,16,2,1,1,0.2943604,0.8222109,88 Catherine Chen,4,72 JJ Jarik,13 Grace Feehan,17 Rufus Caitlin Duffner,,,
2025-07-22 16:59:47,18,1,1,0,0.34525448,0.6892511,08 PJ Maddi Lang,10,,,,10 Steph Rupp,,
2025-07-22 17:02:34,19,1,1,1,0.31086653,0.673459,10 Steph Rupp,4,10 Steph Rupp,88 Catherine Chen,18 Kendra Griesman,,,
2025-07-22 17:05:58,21,1,1,0,0.23933972,0.50789607,21 Sowmya Ragothaman,4,,,,24 Anna Stubbs,,
2025-07-22 17:08:56,22,1,1,0,0.4662999,0.53438616,,1,,,,,,
