Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-22 15:07:32,1,0,0,0,0,1,13,1,1,0,1,0,,,
2025-07-22 15:10:54,2,0,1,1,0,2,3,2,1,1,0,1,,,
2025-07-22 15:13:18,3,0,2,1,1,2,5,1,1,0,1,0,17 Rufus Caitlin Duffner,05 Anna Thorn,24 Anna Stubbs
2025-07-22 15:17:25,4,1,2,0,0,0,0,0,0,0,0,0,,,
2025-07-22 15:19:13,5,1,3,1,0,1,10,1,1,0,0,0,,,
2025-07-22 15:21:28,6,1,4,1,1,2,16,1,1,0,1,0,72 JJ Jarik,05 Anna Thorn,09 Moose Lucy Petersen
2025-07-22 15:25:29,7,2,4,0,0,1,1,1,1,0,0,1,,,
2025-07-22 15:27:25,8,2,5,1,1,1,10,0,0,0,0,0,24 Anna Stubbs,72 JJ Jarik,18 Kendra Griesman
2025-07-22 15:29:30,9,3,5,0,0,0,0,0,0,0,0,0,,,
2025-07-22 15:30:40,10,3,6,1,0,1,13,1,1,0,0,0,,,
2025-07-22 15:33:04,11,3,7,1,0,1,4,1,1,0,0,0,,,
2025-07-22 15:34:12,12,3,8,1,1,3,23,2,2,0,0,2,24 Anna Stubbs,10 Steph Rupp,13 Grace Feehan
2025-07-22 15:39:04,13,4,8,0,0,0,0,0,0,0,0,0,,,
2025-07-22 15:40:22,14,4,9,1,1,1,1,0,0,0,0,0,,,
2025-07-22 15:40:35,15,5,9,0,0,0,0,0,0,0,0,0,,,
2025-07-22 15:41:39,16,5,10,1,0,1,1,1,0,1,0,0,,,
2025-07-22 15:43:07,17,5,11,1,1,1,4,0,0,0,0,0,21 Sowmya Ragothaman,88 Catherine Chen,09 Moose Lucy Petersen
2025-07-22 15:44:16,18,6,11,0,0,1,10,1,1,0,0,1,,,
2025-07-22 15:48:33,19,6,12,1,1,1,8,0,0,0,0,0,88 Catherine Chen,72 JJ Jarik,18 Kendra Griesman
2025-07-22 15:50:02,20,7,12,0,0,3,13,3,3,0,1,2,,,
2025-07-22 15:58:01,21,7,13,1,0,4,16,4,4,0,2,1,,,
2025-07-22 16:02:46,22,7,14,1,1,1,1,0,0,0,0,0,,,
2025-07-22 16:02:56,23,8,14,0,0,0,0,0,0,0,0,0,,,
2025-07-22 16:04:52,24,8,15,1,0,0,0,0,0,0,0,0,,,
