Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-22 15:08:43,1,1,0,0,0.30811554,0.34691796,29 Jade Hostein,13,,,,15 Hannah Cheng,,
2025-07-22 15:11:45,2,1,1,0,0.49243468,0.68262863,10 Steph Rupp,2,,,,88 Catherine Chen,,
2025-07-22 15:12:47,2,2,1,0,0.12379646,0.828324,10 Steph Rupp,1,,,,,88 Catherine Chen,
2025-07-22 15:16:01,3,1,1,0,0.7235213,0.6255731,05 Anna Thorn,2,,,,24 Anna Stubbs,,
2025-07-22 15:16:56,3,2,1,1,0.2654745,0.5812532,05 Anna Thorn,3,17 Rufus Caitlin Duffner,05 Anna Thorn,24 Anna Stubbs,,,
2025-07-22 15:19:40,5,1,1,0,0.32599723,0.6673459,05 Anna Thorn,10,,,,05 Anna Thorn,,
2025-07-22 15:22:01,6,1,1,0,0.5144429,0.6423841,21 Sowmya Ragothaman,6,,,,88 Catherine Chen,,
2025-07-22 15:24:02,6,2,1,1,0.7840441,0.777891,05 Anna Thorn,10,72 JJ Jarik,05 Anna Thorn,09 Moose Lucy Petersen,,,
2025-07-22 15:26:58,7,1,0,0,0.7757909,0.81762606,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-07-22 15:27:48,8,1,1,1,0.3878955,0.8573612,21 Sowmya Ragothaman,10,24 Anna Stubbs,72 JJ Jarik,18 Kendra Griesman,,,
2025-07-22 15:31:35,10,1,1,0,0.72214586,0.7936832,88 Catherine Chen,13,,,,05 Anna Thorn,,
2025-07-22 15:33:29,11,1,1,0,0.43328747,0.72694856,08 PJ Maddi Lang,4,,,,21 Sowmya Ragothaman,,
2025-07-22 15:34:48,12,1,1,0,0.9614856,0.68772286,08 PJ Maddi Lang,3,,,,08 PJ Maddi Lang,,
2025-07-22 15:35:54,12,2,1,0,0.50343883,0.8267957,10 Steph Rupp,3,,,,09 Moose Lucy Petersen,,
2025-07-22 15:36:39,12,3,1,1,0.6547455,0.764646,10 Steph Rupp,17,24 Anna Stubbs,10 Steph Rupp,13 Grace Feehan,,,
2025-07-22 15:40:32,14,1,1,1,0.5020633,0.45950076,,1,,,,,,
2025-07-22 15:42:45,16,1,1,0,0.6685007,0.84207845,,1,,,,,88 Catherine Chen,
2025-07-22 15:43:36,17,1,1,1,0.5061898,0.63881814,10 Steph Rupp,4,21 Sowmya Ragothaman,88 Catherine Chen,09 Moose Lucy Petersen,,,
2025-07-22 15:45:34,18,1,0,0,0.61898214,0.73357105,07 Annie Phan,10,,,,15 Hannah Cheng,,
2025-07-22 15:49:02,19,1,1,1,0.8555708,0.70198673,88 Catherine Chen,8,88 Catherine Chen,72 JJ Jarik,18 Kendra Griesman,,,
2025-07-22 15:52:29,20,1,0,0,0.6946355,0.71625066,12 Lizzie Tilden,4,,,,12 Lizzie Tilden,,
2025-07-22 15:54:29,20,2,0,0,0.66712517,0.83749366,82 Claire Schmitt,7,,,,29 Jade Hostein,,
2025-07-22 15:57:31,20,3,0,0,0.43878958,0.5267448,10 Steph Rupp,2,,,,82 Claire Schmitt,,
2025-07-22 15:58:23,21,1,1,0,0.6574965,0.68568516,08 PJ Maddi Lang,4,,,,05 Anna Thorn,,
2025-07-22 15:59:27,21,2,1,0,0.2517194,0.8160978,05 Anna Thorn,6,,,,08 PJ Maddi Lang,,
2025-07-22 16:00:52,21,3,1,0,0.9367263,0.6072338,05 Anna Thorn,3,,,,05 Anna Thorn,,
2025-07-22 16:01:37,21,4,1,0,0.37138924,0.74630666,21 Sowmya Ragothaman,3,,,,72 JJ Jarik,,
2025-07-22 16:02:54,22,1,1,1,0.47180194,0.48242486,,1,,,,,,
