Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-21 11:41:08,1,0,0,0,0,0,0,0,0,0,0,0,,,
2025-07-21 11:41:25,2,0,1,1,0,1,5,1,1,0,0,0,,,
2025-07-21 11:43:23,3,0,2,1,1,2,6,1,1,0,0,1,10 Steph Rupp,88 Catherine Chen,13 Grace Feehan
2025-07-21 11:47:14,4,1,2,0,0,1,4,1,0,1,0,1,,,
2025-07-21 11:51:33,5,1,3,1,0,1,2,1,1,0,0,0,,,
2025-07-21 11:53:24,6,1,4,1,1,1,6,0,0,0,0,0,18 Kendra Griesman,17 Rufus Caitlin Duffner,24 Anna Stubbs
2025-07-21 11:55:06,7,2,4,0,0,0,0,0,0,0,0,0,,,
2025-07-21 11:56:08,8,2,5,1,1,1,11,0,0,0,0,0,18 Kendra Griesman,05 Anna Thorn,15 Hannah Cheng
2025-07-21 11:58:41,9,3,5,0,1,1,1,0,0,0,0,1,,,
2025-07-21 11:59:28,10,4,5,0,0,0,0,0,0,0,0,0,,,
2025-07-21 12:00:49,11,4,6,1,1,3,22,2,2,0,0,2,17 Rufus Caitlin Duffner,88 Catherine Chen,24 Anna Stubbs
2025-07-21 12:10:35,12,5,6,0,0,0,0,0,0,0,0,0,,,
2025-07-21 12:13:19,13,5,7,1,0,1,4,1,1,0,0,0,,,
2025-07-21 12:15:00,14,5,8,1,0,1,2,1,1,0,0,0,,,
2025-07-21 12:17:19,15,5,9,1,0,1,4,1,1,0,0,0,,,
2025-07-21 12:18:58,16,5,10,1,0,1,3,1,1,1,0,0,,,
2025-07-21 12:21:17,17,5,11,1,1,2,19,1,1,0,1,0,21 Sowmya Ragothaman,05 Anna Thorn,17 Rufus Caitlin Duffner
2025-07-21 12:24:53,18,6,11,0,0,0,0,0,0,0,0,0,,,
2025-07-21 12:26:32,19,6,12,1,1,2,14,1,1,0,1,0,18 Kendra Griesman,15 Hannah Cheng,18 Kendra Griesman
2025-07-21 12:30:12,20,7,12,0,0,1,2,1,1,0,0,1,,,
2025-07-21 12:33:23,21,7,13,1,1,2,16,1,1,0,0,1,10 Steph Rupp,72 JJ Jarik,16 Sasha Baumann
2025-07-21 12:37:22,22,8,13,0,0,0,0,0,0,0,0,0,,,
2025-07-21 12:37:41,23,8,14,1,0,1,4,1,1,0,0,0,,,
2025-07-21 12:38:50,24,8,15,1,0,0,0,0,0,0,0,0,,,
