Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-21 11:42:20,2,1,1,0,0.5887208,0.69027,88 Catherine Chen,5,,,,72 JJ Jarik,,
2025-07-21 11:45:35,3,1,1,0,0.6574966,0.74834436,15 Hannah Cheng,3,,,,18 Kendra Griesman,,
2025-07-21 11:46:59,3,2,1,1,0.6795048,0.3535405,88 Catherine Chen,3,10 Steph Rupp,88 Catherine Chen,13 Grace Feehan,,,
2025-07-21 11:50:15,4,1,0,0,0.7551582,0.8298522,82 Claire Schmitt,4,,,,,12 Lizzie Tilden,
2025-07-21 11:52:49,5,1,1,0,0.52682257,0.6383087,21 Sowmya Ragothaman,2,,,,72 JJ Jarik,,
2025-07-21 11:54:13,6,1,1,1,0.6891334,0.67600614,82 Claire Schmitt,6,18 Kendra Griesman,17 Rufus Caitlin Duffner,24 Anna Stubbs,,,
2025-07-21 11:57:05,8,1,1,1,0.6286107,0.73458993,15 Hannah Cheng,11,18 Kendra Griesman,05 Anna Thorn,15 Hannah Cheng,,,
2025-07-21 11:59:23,9,1,0,1,0.47867954,0.18,,1,,,,,,
2025-07-21 12:01:45,11,1,1,0,0.6740027,0.7809475,88 Catherine Chen,7,,,,10 Steph Rupp,,
2025-07-21 12:07:41,11,2,1,0,0.6409903,0.42333162,10 Steph Rupp,6,,,,72 JJ Jarik,,
2025-07-21 12:09:24,11,3,1,1,0.34250343,0.82322973,05 Anna Thorn,9,17 Rufus Caitlin Duffner,88 Catherine Chen,24 Anna Stubbs,,,
2025-07-21 12:13:50,13,1,1,0,0.56258595,0.71981657,15 Hannah Cheng,4,,,,17 Rufus Caitlin Duffner,,
2025-07-21 12:15:55,14,1,1,0,0.48143053,0.62913907,05 Anna Thorn,2,,,,88 Catherine Chen,,
2025-07-21 12:18:12,15,1,1,0,0.7482806,0.7106469,15 Hannah Cheng,4,,,,18 Kendra Griesman,,
2025-07-21 12:19:49,16,1,1,0,0.735901,0.7152318,15 Hannah Cheng,3,,,,15 Hannah Cheng,27 Connie Chan,
2025-07-21 12:21:48,17,1,1,0,0.87482804,0.5904228,21 Sowmya Ragothaman,15,,,,24 Anna Stubbs,,
2025-07-21 12:24:15,17,2,1,1,0.37826684,0.42740703,05 Anna Thorn,4,21 Sowmya Ragothaman,05 Anna Thorn,17 Rufus Caitlin Duffner,,,
2025-07-21 12:27:09,19,1,1,0,0.86795044,0.68364745,05 Anna Thorn,7,,,,88 Catherine Chen,,
2025-07-21 12:28:36,19,2,1,1,0.37138924,0.6174223,05 Anna Thorn,7,18 Kendra Griesman,15 Hannah Cheng,18 Kendra Griesman,,,
2025-07-21 12:31:40,20,1,0,0,0.2792297,0.84004074,82 Claire Schmitt,2,,,,99 Dana Demmert,,
2025-07-21 12:34:45,21,1,1,0,0.5804677,0.71115637,15 Hannah Cheng,1,,,,15 Hannah Cheng,,
2025-07-21 12:35:23,21,2,1,1,0.6203576,0.83036166,10 Steph Rupp,15,10 Steph Rupp,72 JJ Jarik,16 Sasha Baumann,,,
2025-07-21 12:38:06,23,1,1,0,0.68500686,0.7682119,15 Hannah Cheng,4,,,,88 Catherine Chen,,
