Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-24 10:40:30,1,0,0,0,0,2,6,2,2,0,0,2,,,
2025-07-24 10:50:31,2,0,1,1,1,1,7,0,0,0,0,0,18 Kendra Griesman,05 Anna Thorn,10 Steph Rupp
2025-07-24 10:51:58,3,1,1,0,1,1,10,0,0,0,0,1,99 Dana Demmert,82 Claire Schmitt,06 Kylie Chesner
2025-07-24 10:54:22,4,2,1,0,1,3,16,2,2,0,0,3,12 Lizzie Tilden,07 Annie Phan,29 Jade Hostein
2025-07-24 11:00:56,5,3,1,0,0,0,0,0,0,0,0,0,,,
2025-07-24 11:01:01,6,3,2,1,0,1,3,1,1,0,0,0,,,
2025-07-24 11:03:54,7,3,3,1,1,2,14,1,1,0,0,1,17 Rufus Caitlin Duffner,82 Claire Schmitt,88 Catherine Chen
2025-07-24 11:08:02,8,4,3,0,0,0,0,0,0,0,0,0,,,
2025-07-24 11:11:10,9,4,4,1,1,2,28,1,1,0,1,0,10 Steph Rupp,72 JJ Jarik,18 Kendra Griesman
2025-07-24 11:15:19,10,5,4,0,1,4,26,3,3,0,2,2,82 Claire Schmitt,08 PJ Maddi Lang,25 Ducky Tewodros
2025-07-24 11:23:30,11,6,4,0,1,1,15,0,0,0,1,0,12 Lizzie Tilden,26 Rhea Joshi,29 Jade Hostein
2025-07-24 11:31:52,12,7,4,0,0,0,0,0,0,0,0,0,,,
2025-07-24 11:34:05,13,7,5,1,1,7,12,6,6,0,4,2,,,
2025-07-24 11:46:02,14,8,5,0,1,4,22,3,3,0,1,3,12 Lizzie Tilden,99 Dana Demmert,08 PJ Maddi Lang
2025-07-24 11:52:11,15,9,5,0,0,0,0,0,0,0,0,0,,,
