Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-24 10:47:29,1,1,0,0,0.656121,0.44931227,07 Annie Phan,3,,,,82 Claire Schmitt,,
2025-07-24 10:49:27,1,2,0,0,0.2517194,0.51757514,82 Claire Schmitt,3,,,,07 Annie Phan,,
2025-07-24 10:51:06,2,1,1,1,0.16918842,0.56240445,21 Sowmya Ragothaman,7,18 Kendra Griesman,05 Anna Thorn,10 Steph Rupp,,,
2025-07-24 10:53:01,3,1,0,1,0.18707012,0.61946,82 Claire Schmitt,10,99 Dana Demmert,82 Claire Schmitt,06 Kylie Chesner,,,
2025-07-24 10:55:34,4,1,0,0,0.5392022,0.31227714,07 Annie Phan,2,,,,82 Claire Schmitt,,
2025-07-24 10:56:06,4,2,0,0,0.8968363,0.3958227,82 Claire Schmitt,7,,,,82 Claire Schmitt,,
2025-07-24 10:58:14,4,3,0,1,0.786795,0.5226694,82 Claire Schmitt,7,12 Lizzie Tilden,07 Annie Phan,29 Jade Hostein,,,
2025-07-24 11:01:23,6,1,1,0,0.2269601,0.6795721,15 Hannah Cheng,3,,,,13 Grace Feehan,,
2025-07-24 11:05:01,7,1,1,0,0.6698762,0.8181355,15 Hannah Cheng,2,,,,10 Steph Rupp,,
2025-07-24 11:06:30,7,2,1,1,0.40165064,0.7030056,15 Hannah Cheng,12,17 Rufus Caitlin Duffner,82 Claire Schmitt,88 Catherine Chen,,,
2025-07-24 11:11:40,9,1,1,0,0.6354883,0.7677025,21 Sowmya Ragothaman,14,,,,10 Steph Rupp,,
2025-07-24 11:13:31,9,2,1,1,0.75171465,0.7130523,24 Anna Stubbs,14,10 Steph Rupp,72 JJ Jarik,18 Kendra Griesman,,,
2025-07-24 11:17:30,10,1,0,0,0.5887208,0.54712176,27 Connie Chan,2,,,,82 Claire Schmitt,,
2025-07-24 11:18:28,10,2,0,0,0.12792301,0.83189,82 Claire Schmitt,12,,,,08 PJ Maddi Lang,,
2025-07-24 11:21:24,10,3,0,0,0.24896838,0.83138055,27 Connie Chan,5,,,,08 PJ Maddi Lang,,
2025-07-24 11:22:31,10,4,0,1,0.079561085,0.83748096,27 Connie Chan,7,82 Claire Schmitt,08 PJ Maddi Lang,25 Ducky Tewodros,,,
2025-07-24 11:28:23,11,1,0,1,0.47042638,0.8206826,12 Lizzie Tilden,15,12 Lizzie Tilden,26 Rhea Joshi,29 Jade Hostein,,,
2025-07-24 11:35:21,13,1,1,0,0.31774414,0.48700967,10 Steph Rupp,2,,,,72 JJ Jarik,,
2025-07-24 11:36:06,13,2,1,0,0.02200821,0.41670913,10 Steph Rupp,2,,,,88 Catherine Chen,,
2025-07-24 11:36:47,13,3,1,0,0.63786006,0.2772981,13 Grace Feehan,1,,,,13 Grace Feehan,,
2025-07-24 11:37:24,13,4,1,0,0.09491057,0.6235354,10 Steph Rupp,2,,,,21 Sowmya Ragothaman,,
2025-07-24 11:38:06,13,5,1,0,0.07152678,0.5481406,10 Steph Rupp,2,,,,88 Catherine Chen,,
2025-07-24 11:39:05,13,6,1,0,0.46217328,0.4895568,10 Steph Rupp,2,,,,88 Catherine Chen,,
2025-07-24 11:45:57,13,7,1,1,0.51856947,0.24197656,,1,,,,,,
2025-07-24 11:47:00,14,1,0,0,0.9436039,0.82730514,82 Claire Schmitt,1,,,,82 Claire Schmitt,,
2025-07-24 11:47:35,14,2,0,0,0.82943606,0.6816098,82 Claire Schmitt,5,,,,82 Claire Schmitt,,
2025-07-24 11:49:03,14,3,0,0,0.89546084,0.74325013,82 Claire Schmitt,6,,,,29 Jade Hostein,,
2025-07-24 11:51:01,14,4,0,1,0.4979424,0.86135095,27 Connie Chan,10,12 Lizzie Tilden,99 Dana Demmert,08 PJ Maddi Lang,,,
