Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-21 21:42:59,1,0,0,1,1,1,8,0,0,0,0,0,10 Steph Rupp,72 JJ Jarik,17 Rufus Caitlin Duffner
2025-07-21 21:45:27,2,1,0,0,1,2,10,1,1,0,0,2,,29 Jade Hostein,25 Ducky Tewodros
2025-07-21 21:49:41,3,2,0,0,0,0,0,0,0,0,0,0,,,
2025-07-21 21:51:20,4,2,1,1,0,1,7,1,0,1,0,0,,,
2025-07-21 21:53:31,5,2,2,1,0,1,3,1,1,0,0,0,,,
2025-07-21 21:55:11,6,2,3,1,0,1,4,1,1,0,0,0,,,
2025-07-21 21:56:42,7,2,4,1,0,2,5,2,1,2,0,1,,,
2025-07-21 22:00:12,8,2,5,1,0,1,1,1,1,1,0,0,,,
2025-07-21 22:00:27,9,2,6,1,1,3,18,2,2,1,1,1,,,
2025-07-21 22:07:12,10,3,6,0,0,0,0,0,0,0,0,0,,,
2025-07-21 22:09:41,11,3,7,1,1,2,29,1,1,0,0,1,05 Anna Thorn,17 Rufus Caitlin Duffner,05 Anna Thorn
2025-07-21 22:16:13,12,4,7,0,0,1,6,1,1,0,0,1,,,
2025-07-21 22:21:21,13,4,8,1,0,1,34,1,0,1,0,0,,,
2025-07-21 22:31:00,14,4,9,1,1,1,1,0,0,0,0,0,,,
2025-07-21 22:32:01,15,5,9,0,0,1,12,1,1,0,1,0,,,
2025-07-21 22:39:27,16,5,10,1,1,1,4,0,0,0,0,0,10 Steph Rupp,72 JJ Jarik,13 Grace Feehan
2025-07-21 22:41:11,17,6,10,0,0,0,0,0,0,0,0,0,,,
2025-07-21 22:42:15,18,6,11,1,0,0,0,0,0,0,0,0,,,
