Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-21 21:44:09,1,1,1,1,0.70563966,0.77177787,15 Hannah Cheng,8,10 Steph Rupp,72 JJ Jarik,17 Rufus Caitlin Duffner,,,
2025-07-21 21:46:35,2,1,0,0,0.9477304,0.83239937,82 Claire Schmitt,9,,,,27 Connie Chan,,
2025-07-21 21:49:37,2,2,0,1,0.60660243,0.20071319,29 Jade Hostein,1,,29 Jade Hostein,25 Ducky Tewodros,,,
2025-07-21 21:51:48,4,1,1,0,0.56121045,0.81660724,21 Sowmya Ragothaman,7,,,,,24 Anna Stubbs,
2025-07-21 21:54:33,5,1,1,0,0.65887207,0.7412124,82 Claire Schmitt,3,,,,17 Rufus Caitlin Duffner,,
2025-07-21 21:55:50,6,1,1,0,0.96011007,0.81100357,88 Catherine Chen,4,,,,72 JJ Jarik,,
2025-07-21 21:58:33,7,1,1,0,0.49656123,0.60264903,,1,,,,,,
2025-07-21 21:58:58,7,2,1,0,0.69050896,0.81864494,82 Claire Schmitt,4,,,,,12 Lizzie Tilden,
2025-07-21 22:00:20,8,1,1,0,0.5323246,0.55985737,,1,,,,,,
2025-07-21 22:01:58,9,1,1,0,0.6382393,0.68211925,82 Claire Schmitt,4,,,,29 Jade Hostein,,
2025-07-21 22:03:34,9,2,1,0,0.22971115,0.82526743,82 Claire Schmitt,13,,,,82 Claire Schmitt,29 Jade Hostein,
2025-07-21 22:07:11,9,3,1,1,0.43603852,0.21803363,,1,,,,,,
2025-07-21 22:10:22,11,1,1,0,0.008253137,0.7075904,88 Catherine Chen,16,,,,05 Anna Thorn,,
2025-07-21 22:13:49,11,2,1,1,0.08528198,0.53438616,05 Anna Thorn,13,05 Anna Thorn,17 Rufus Caitlin Duffner,05 Anna Thorn,,,
2025-07-21 22:17:40,12,1,0,0,0.522696,0.824758,82 Claire Schmitt,6,,,,08 PJ Maddi Lang,,
2025-07-21 22:24:12,13,1,1,0,0.7345255,0.76872134,88 Catherine Chen,34,,,,,09 Moose Lucy Petersen,
2025-07-21 22:31:59,14,1,1,1,0.5337001,0.23484462,,1,,,,,,
2025-07-21 22:33:53,15,1,0,0,0.45392027,0.83545595,82 Claire Schmitt,12,,,,29 Jade Hostein,,
2025-07-21 22:40:29,16,1,1,1,0.45116913,0.34029546,10 Steph Rupp,4,10 Steph Rupp,72 JJ Jarik,13 Grace Feehan,,,
