Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-09-16 15:33:29,1,0,0,0,1,2,18,1,1,0,1,1,71 Guber,30 Caleb Moran,14 Gina Stees
2025-09-16 15:36:52,2,1,0,0,1,1,6,0,0,0,0,1,76 Conrad Nguyen,Mox,07 Chris Nowak
2025-09-16 15:38:34,3,2,0,0,1,1,12,0,0,0,0,1,71 Guber,30 Caleb Moran,20 Ellie Lind
2025-09-16 15:41:19,4,3,0,0,0,0,0,0,0,0,0,0,,,
2025-09-16 15:42:10,5,3,1,1,1,2,8,1,1,0,0,1,47 Penny Wu,24 Courtney Rachke,03 Ethan Jones
2025-09-16 15:44:06,6,4,1,0,0,1,3,1,1,0,1,0,,,
2025-09-16 15:45:14,7,4,2,1,1,1,8,0,0,0,0,0,24 Courtney Rachke,11 Eric Wong,19 Emily Molloy
2025-09-16 15:46:48,8,5,2,0,1,3,23,2,2,0,0,3,Mox,06 Tess Buchanan,Peter Walsh
2025-09-16 15:50:58,9,6,2,0,1,1,7,0,0,0,0,1,08 ManHua Zhu,71 Guber,20 Ellie Lind
2025-09-16 15:52:14,10,7,2,0,0,0,0,0,0,0,0,0,,,
2025-09-16 15:53:41,11,7,3,1,1,1,3,0,0,0,0,0,11 Eric Wong,03 Ethan Jones,32 Sean McSweeney
2025-09-16 15:54:47,12,8,3,1,1,1,6,0,0,0,0,0,03 Ethan Jones,47 Penny Wu,32 Sean McSweeney
2025-09-16 16:04:12,13,9,3,0,1,2,4,1,1,0,0,2,,08 ManHua Zhu,71 Guber
2025-09-16 16:06:49,14,10,3,0,0,0,0,0,0,0,0,0,,,
2025-09-16 16:08:02,15,10,4,1,1,1,6,0,0,0,0,0,11 Eric Wong,47 Penny Wu,19 Emily Molloy
2025-09-16 16:09:32,16,11,4,0,0,0,0,0,0,0,0,0,,,
2025-09-16 16:10:14,17,11,5,1,1,1,3,0,0,0,0,0,24 Courtney Rachke,47 Penny Wu,17 Anna Martinello
2025-09-16 16:11:39,18,12,5,0,1,1,9,0,0,0,0,1,Mox,07 Chris Nowak,Mox
2025-09-16 16:13:57,19,13,5,0,1,1,2,0,0,0,1,0,92 Sam DeVine,30 Caleb Moran,21 Abby Pavlicek
2025-09-16 16:15:26,20,14,5,0,0,3,20,3,2,1,1,2,,,
2025-09-16 16:21:26,21,14,6,1,1,1,4,0,0,0,0,0,19 Emily Molloy,32 Sean McSweeney,03 Ethan Jones
2025-09-16 16:22:49,22,15,6,0,0,0,0,0,0,0,0,0,,,
