Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-09-16 15:34:42,1,1,0,0,0.6935484,0.81212723,10 Nate King,5,,,,20 Ellie Lind,,
2025-09-16 15:35:48,1,2,0,1,0.10752688,0.306163,08 ManHua Zhu,13,71 Guber,30 Caleb Moran,14 Gina Stees,,,
2025-09-16 15:37:35,2,1,0,1,0.018817205,0.80914515,56 Angel Barragan,6,76 Conrad Nguyen,Mox,07 Chris Nowak,,,
2025-09-16 15:40:16,3,1,0,1,0.27688172,0.80715704,10 Nate King,12,71 Guber,30 Caleb Moran,20 Ellie Lind,,,
2025-09-16 15:42:32,5,1,1,0,0.8494624,0.47912526,47 Penny Wu,5,,,,47 Penny Wu,,
2025-09-16 15:43:41,5,2,1,1,0.088709675,0.42345923,32 Sean McSweeney,3,47 Penny Wu,24 Courtney Rachke,03 Ethan Jones,,,
2025-09-16 15:44:42,6,1,0,0,0.29301074,0.8966203,11 Eric Wong,3,,,,11 Eric Wong,,
2025-09-16 15:45:36,7,1,1,1,0.68010753,0.7713718,11 Eric Wong,8,24 Courtney Rachke,11 Eric Wong,19 Emily Molloy,,,
2025-09-16 15:47:29,8,1,0,0,0.54569894,0.8300199,56 Angel Barragan,11,,,,06 Tess Buchanan,,
2025-09-16 15:48:51,8,2,0,0,0.086021505,0.80815107,56 Angel Barragan,4,,,,Peter Walsh,,
2025-09-16 15:50:01,8,3,0,1,0.8924731,0.34890655,76 Conrad Nguyen,8,Mox,06 Tess Buchanan,Peter Walsh,,,
2025-09-16 15:51:42,9,1,0,1,0.77150536,0.5616302,08 ManHua Zhu,7,08 ManHua Zhu,71 Guber,20 Ellie Lind,,,
2025-09-16 15:54:07,11,1,1,1,0.96505374,0.6600398,47 Penny Wu,3,11 Eric Wong,03 Ethan Jones,32 Sean McSweeney,,,
2025-09-16 15:56:33,12,1,1,1,0.55376345,0.694831,32 Sean McSweeney,6,03 Ethan Jones,47 Penny Wu,32 Sean McSweeney,,,
2025-09-16 16:05:33,13,1,0,0,0.021505376,0.8220676,10 Nate King,3,,,,30 Caleb Moran,,
2025-09-16 16:06:42,13,2,0,1,0.6075269,0.25347912,08 ManHua Zhu,1,,08 ManHua Zhu,71 Guber,,,
2025-09-16 16:08:20,15,1,1,1,0.6182796,0.77932405,32 Sean McSweeney,6,11 Eric Wong,47 Penny Wu,19 Emily Molloy,,,
2025-09-16 16:10:43,17,1,1,1,0.5,0.50198805,11 Eric Wong,3,24 Courtney Rachke,47 Penny Wu,17 Anna Martinello,,,
2025-09-16 16:12:50,18,1,0,1,0.06989247,0.5715706,56 Angel Barragan,9,Mox,07 Chris Nowak,Mox,,,
2025-09-16 16:15:15,19,1,0,1,0.21505377,0.4304175,92 Sam DeVine,2,92 Sam DeVine,30 Caleb Moran,21 Abby Pavlicek,,,
2025-09-16 16:16:17,20,1,0,0,0.28225806,0.6262425,11 Eric Wong,14,,,,11 Eric Wong,,
2025-09-16 16:19:03,20,2,0,0,0.83064514,0.35785288,11 Eric Wong,1,,,,11 Eric Wong,,
2025-09-16 16:19:46,20,3,0,0,0.083333336,0.45129225,56 Angel Barragan,5,,,,,Mox,
2025-09-16 16:21:53,21,1,1,1,0.6075269,0.5477137,32 Sean McSweeney,4,19 Emily Molloy,32 Sean McSweeney,03 Ethan Jones,,,
