Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-09-15 09:26:23,1,0,0,0,0,1,1,1,0,1,0,1,,,
2025-09-15 09:28:02,2,0,1,1,1,2,10,1,1,0,1,0,24 Courtney Rachke,47 Penny Wu,03 Ethan Jones
2025-09-15 09:31:40,3,1,1,0,1,1,2,0,0,0,0,1,08 ManHua Zhu,10 Nate King,30 Caleb Moran
2025-09-15 09:32:48,4,2,1,0,1,4,10,3,3,0,2,2,,08 ManHua Zhu,20 Ellie Lind
2025-09-15 09:50:38,5,3,1,0,0,0,0,0,0,0,0,0,,,
2025-09-15 09:51:10,6,3,2,1,0,1,1,1,1,0,0,0,,,
2025-09-15 09:53:52,7,3,3,1,1,1,27,0,0,0,0,0,11 Eric Wong,,
2025-09-15 09:56:49,8,4,3,0,1,1,8,0,0,0,0,1,,,
2025-09-15 09:59:19,9,5,3,0,0,0,0,0,0,0,0,0,,,
2025-09-15 10:00:11,10,5,4,1,1,1,9,0,0,0,0,0,32 Sean McSweeney,47 Penny Wu,24 Courtney Rachke
2025-09-15 10:01:28,11,6,4,0,0,0,0,0,0,0,0,0,,,
2025-09-15 10:02:30,12,6,5,1,1,1,11,0,0,0,0,0,47 Penny Wu,32 Sean McSweeney,11 Eric Wong
2025-09-15 10:03:57,13,7,5,0,1,2,14,1,1,0,0,2,17 Anna Martinello,20 Ellie Lind,30 Caleb Moran
2025-09-15 10:16:47,14,8,5,0,0,2,9,2,2,0,0,2,,,
2025-09-15 10:20:45,15,8,6,1,1,3,22,2,2,0,1,1,24 Courtney Rachke,11 Eric Wong,19 Emily Molloy
2025-09-15 10:25:52,16,9,6,0,0,0,0,0,0,0,0,0,,,
