Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-09-15 09:27:01,1,1,0,0,0.2876344,0.6779324,76 Conrad Nguyen,1,,,,,Mox,
2025-09-15 09:28:37,2,1,1,0,0.25537634,0.67892647,32 Sean McSweeney,2,,,,47 Penny Wu,,
2025-09-15 09:30:44,2,2,1,1,0.3091398,0.82107353,47 Penny Wu,8,24 Courtney Rachke,47 Penny Wu,03 Ethan Jones,,,
2025-09-15 09:32:39,3,1,0,1,0.2311828,0.19284295,08 ManHua Zhu,2,08 ManHua Zhu,10 Nate King,30 Caleb Moran,,,
2025-09-15 09:47:00,4,1,0,0,0.24193548,0.3528827,10 Nate King,1,,,,10 Nate King,,
2025-09-15 09:47:47,4,2,0,0,0.6155914,0.5646123,08 ManHua Zhu,5,,,,47 Penny Wu,,
2025-09-15 09:49:05,4,3,0,0,0.75,0.7922465,47 Penny Wu,3,,,,10 Nate King,,
2025-09-15 09:50:18,4,4,0,1,0.40053764,0.18190855,08 ManHua Zhu,1,,08 ManHua Zhu,20 Ellie Lind,,,
2025-09-15 09:53:45,6,1,1,0,0.51344085,0.74552685,,1,,,,,,
2025-09-15 09:54:17,7,1,1,1,0.9731183,0.7435388,32 Sean McSweeney,27,11 Eric Wong,,,,,
2025-09-15 09:58:28,8,1,0,1,0.20430107,0.52683896,,8,,,,,,
2025-09-15 10:00:36,10,1,1,1,0.40053764,0.639165,32 Sean McSweeney,9,32 Sean McSweeney,47 Penny Wu,24 Courtney Rachke,,,
2025-09-15 10:02:51,12,1,1,1,0.16935484,0.70178926,32 Sean McSweeney,11,47 Penny Wu,32 Sean McSweeney,11 Eric Wong,,,
2025-09-15 10:05:24,13,1,0,0,0.2123656,0.79025847,10 Nate King,2,,,,71 Guber,,
2025-09-15 10:06:20,13,2,0,1,0.9005376,0.8001988,30 Caleb Moran,12,17 Anna Martinello,20 Ellie Lind,30 Caleb Moran,,,
2025-09-15 10:17:55,14,1,0,0,0.5107527,0.8170974,11 Eric Wong,2,,,,03 Ethan Jones,,
2025-09-15 10:19:04,14,2,0,0,0.16935484,0.2475149,Peter Walsh,7,,,,Peter Walsh,,
2025-09-15 10:21:04,15,1,1,0,0.51344085,0.57057655,32 Sean McSweeney,2,,,,47 Penny Wu,,
2025-09-15 10:21:32,15,2,1,0,0.23387097,0.6988072,32 Sean McSweeney,15,,,,47 Penny Wu,,
2025-09-15 10:25:10,15,3,1,1,0.77150536,0.26540756,11 Eric Wong,5,24 Courtney Rachke,11 Eric Wong,19 Emily Molloy,,,
