Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-09-15 17:52:47,1,0,0,0,0,1,4,1,1,0,1,0,,,
2025-09-15 17:56:16,2,0,1,1,0,2,13,2,1,1,0,1,,,
2025-09-15 18:00:03,3,0,2,1,0,9,28,9,8,1,3,5,,,
2025-09-15 18:10:43,4,0,3,1,0,2,11,2,1,1,0,1,,,
2025-09-15 18:13:28,5,0,4,1,0,1,5,1,0,1,0,0,,,
2025-09-15 18:14:31,6,0,5,1,0,2,5,1,1,0,1,0,,,
2025-09-15 18:16:33,7,0,6,1,0,3,11,3,3,0,1,1,,,
2025-09-15 18:20:41,8,0,7,1,0,2,9,2,2,0,0,1,,,
2025-09-15 18:23:09,9,0,8,1,0,1,8,1,1,0,0,0,,,
2025-09-15 18:24:26,10,0,9,1,1,1,6,0,0,0,0,0,71 Guber,14 Gina Stees,10 Nate King
2025-09-15 18:25:32,11,1,9,0,0,1,9,1,1,0,0,1,,,
2025-09-15 18:27:57,12,1,10,1,1,2,19,1,1,0,1,0,11 Eric Wong,92 Sam DeVine,03 Ethan Jones
2025-09-15 18:32:43,13,2,10,0,0,0,0,0,0,0,0,0,,,
2025-09-15 18:33:24,14,2,11,1,0,2,6,2,1,1,1,0,,,
2025-09-15 18:36:32,15,2,12,1,1,1,12,0,0,0,0,0,11 Eric Wong,Peter Walsh,20 Ellie Lind
2025-09-15 18:38:40,16,3,12,0,1,3,15,2,1,1,1,2,56 Angel Barragan,71 Guber,07 Chris Nowak
2025-09-15 18:43:10,17,4,12,0,0,1,4,1,0,1,0,1,,,
2025-09-15 18:45:37,18,4,13,1,0,0,0,0,0,0,0,0,,,
