Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-09-11 23:22:50,1,0,0,0,0,0,0,0,0,0,0,0,,,
2025-09-11 23:23:51,2,0,1,1,0,1,3,1,1,0,0,0,,,
2025-09-11 23:29:41,3,0,2,1,1,2,17,1,1,0,1,0,11 Eric Wong,32 Sean McSweeney,03 Ethan Jones
2025-09-11 23:35:55,4,1,2,0,0,0,0,0,0,0,0,0,,,
2025-09-11 23:36:47,5,1,3,1,1,2,21,1,0,1,0,1,19 Emily Molloy,92 Sam DeVine,03 Ethan Jones
2025-09-11 23:42:57,6,2,3,0,0,0,0,0,0,0,0,0,,,
2025-09-11 23:44:32,7,2,4,1,1,1,8,0,0,0,0,0,24 Courtney Rachke,11 Eric Wong,47 Penny Wu
2025-09-11 23:47:27,8,3,4,0,0,0,0,0,0,0,0,0,,,
2025-09-11 23:49:39,9,3,5,1,0,1,6,1,1,1,0,0,,,
2025-09-11 23:52:28,10,3,6,1,1,1,8,0,0,0,0,0,30 Caleb Moran,71 Guber,20 Ellie Lind
2025-09-11 23:54:43,11,4,6,0,0,0,0,0,0,0,0,0,,,
2025-09-11 23:56:14,12,4,7,0,0,0,0,0,0,0,0,0,,,
2025-09-11 23:57:49,13,4,8,1,1,1,4,0,0,0,0,0,24 Courtney Rachke,47 Penny Wu,17 Anna Martinello
2025-09-12 00:00:27,14,5,8,0,0,0,0,0,0,0,0,0,,,
2025-09-12 00:01:42,15,5,9,1,1,3,4,2,0,2,1,1,,32 Sean McSweeney,19 Emily Molloy
2025-09-12 00:06:03,16,6,9,0,0,3,12,3,2,2,0,3,,,
2025-09-12 00:18:01,17,6,10,1,1,1,11,0,0,0,0,0,24 Courtney Rachke,92 Sam DeVine,03 Ethan Jones
2025-09-12 00:22:57,18,7,10,0,0,1,6,1,1,0,0,1,,,
2025-09-12 00:31:01,19,7,11,1,1,1,2,0,0,0,0,0,32 Sean McSweeney,47 Penny Wu,19 Emily Molloy
2025-09-12 00:33:08,20,8,11,0,0,0,0,0,0,0,0,0,,,
2025-09-12 00:34:27,21,8,12,1,0,0,0,0,0,0,0,0,,,
