Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-09-11 23:28:15,2,1,1,0,0.27688172,0.62922466,32 Sean McSweeney,3,,,,19 Emily Molloy,,
2025-09-11 23:30:56,3,1,1,0,0.2123656,0.79025847,47 Penny Wu,6,,,,47 Penny Wu,,
2025-09-11 23:34:15,3,2,1,1,0.4919355,0.8161034,92 Sam DeVine,11,11 Eric Wong,32 Sean McSweeney,03 Ethan Jones,,,
2025-09-11 23:37:25,5,1,1,0,0.25,0.76540756,47 Penny Wu,10,,,,,47 Penny Wu,
2025-09-11 23:41:47,5,2,1,1,0.22849463,0.8141153,32 Sean McSweeney,11,19 Emily Molloy,92 Sam DeVine,03 Ethan Jones,,,
2025-09-11 23:45:09,7,1,1,1,0.88978493,0.7614314,32 Sean McSweeney,8,24 Courtney Rachke,11 Eric Wong,47 Penny Wu,,,
2025-09-11 23:49:57,9,1,1,0,0.7607527,0.86282307,47 Penny Wu,6,,,,47 Penny Wu,32 Sean McSweeney,
2025-09-11 23:53:09,10,1,1,1,0.0,0.666004,08 ManHua Zhu,8,30 Caleb Moran,71 Guber,20 Ellie Lind,,,
2025-09-11 23:58:12,13,1,1,1,0.68010753,0.7425447,32 Sean McSweeney,4,24 Courtney Rachke,47 Penny Wu,17 Anna Martinello,,,
2025-09-12 00:02:12,15,1,1,0,0.5833333,0.7147117,32 Sean McSweeney,1,,,,,24 Courtney Rachke,
2025-09-12 00:04:28,15,2,1,0,0.11290322,0.5308151,11 Eric Wong,2,,,,,24 Courtney Rachke,
2025-09-12 00:05:50,15,3,1,1,0.41129032,0.19880715,32 Sean McSweeney,1,,32 Sean McSweeney,19 Emily Molloy,,,
2025-09-12 00:07:07,16,1,0,0,0.05376344,0.723658,10 Nate King,1,,,,10 Nate King,14 Gina Stees,
2025-09-12 00:13:35,16,2,0,0,0.7822581,0.8011928,10 Nate King,4,,,,,14 Gina Stees,
2025-09-12 00:15:44,16,3,0,0,1.0,0.48906562,08 ManHua Zhu,7,,,,14 Gina Stees,,
2025-09-12 00:18:29,17,1,1,1,0.4784946,0.6500994,32 Sean McSweeney,11,24 Courtney Rachke,92 Sam DeVine,03 Ethan Jones,,,
2025-09-12 00:27:58,18,1,0,0,1.0,0.806163,11 Eric Wong,6,,,,03 Ethan Jones,,
2025-09-12 00:31:35,19,1,1,1,0.8064516,0.64811134,32 Sean McSweeney,2,32 Sean McSweeney,47 Penny Wu,19 Emily Molloy,,,
