Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-09-15 16:39:11,1,0,0,0,0,1,2,1,1,0,0,1,,,
2025-09-15 16:40:23,2,0,1,1,1,1,18,0,0,0,0,0,11 Eric Wong,47 Penny Wu,19 Emily Molloy
2025-09-15 16:42:22,3,1,1,0,0,0,0,0,0,0,0,0,,,
2025-09-15 16:42:50,4,1,2,1,1,1,13,0,0,0,0,0,03 Ethan Jones,47 Penny Wu,19 Emily Molloy
2025-09-15 16:44:46,5,2,2,0,0,5,38,5,5,0,1,4,,,
2025-09-15 16:54:29,6,2,3,1,1,1,2,0,0,0,0,0,47 Penny Wu,32 Sean McSweeney,92 Sam DeVine
2025-09-15 16:55:09,7,3,3,0,0,2,8,2,1,1,1,1,,,
2025-09-15 16:59:14,8,3,4,1,1,2,7,1,1,0,1,0,24 Courtney Rachke,03 Ethan Jones,24 Courtney Rachke
2025-09-15 17:01:34,9,4,4,0,0,0,0,0,0,0,0,0,,,
2025-09-15 17:03:17,10,4,5,1,1,1,13,0,0,0,0,0,47 Penny Wu,32 Sean McSweeney,24 Courtney Rachke
2025-09-15 17:05:00,11,5,5,0,1,2,13,1,1,0,1,1,,10 Nate King,71 Guber
2025-09-15 17:07:39,12,6,5,0,0,1,3,1,0,1,0,1,,,
2025-09-15 17:10:13,13,6,6,1,1,1,12,0,0,0,0,0,11 Eric Wong,47 Penny Wu,17 Anna Martinello
2025-09-15 17:12:00,14,7,6,1,1,1,5,0,0,0,0,0,24 Courtney Rachke,47 Penny Wu,03 Ethan Jones
2025-09-15 17:13:25,15,8,6,0,0,2,6,2,2,0,0,2,,,
2025-09-15 17:16:25,16,8,7,1,1,1,6,0,0,0,0,0,03 Ethan Jones,32 Sean McSweeney,47 Penny Wu
2025-09-15 17:17:26,17,9,7,0,1,1,2,0,0,0,1,0,10 Nate King,08 ManHua Zhu,21 Abby Pavlicek
2025-09-15 17:19:13,18,10,7,0,1,1,8,0,0,0,1,0,20 Ellie Lind,71 Guber,56 Angel Barragan
2025-09-15 17:22:52,19,11,7,0,0,1,2,1,1,0,0,1,,,
2025-09-15 17:25:11,20,11,8,1,1,1,1,0,0,0,0,0,,32 Sean McSweeney,03 Ethan Jones
2025-09-15 17:26:05,21,12,8,0,0,0,0,0,0,0,0,0,,,
2025-09-15 17:28:25,22,12,9,1,1,2,11,1,0,1,0,1,47 Penny Wu,11 Eric Wong,24 Courtney Rachke
2025-09-15 17:31:49,23,13,9,0,0,0,0,0,0,0,0,0,,,
2025-09-15 17:32:34,24,13,10,1,1,2,9,1,1,0,1,0,11 Eric Wong,24 Courtney Rachke,11 Eric Wong
2025-09-15 17:36:48,25,14,10,0,0,0,0,0,0,0,0,0,,,
