Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-09-15 16:39:47,1,1,0,0,0.5080645,0.82107353,56 Angel Barragan,2,,,,,,
2025-09-15 16:40:40,2,1,1,1,0.22311828,0.722664,32 Sean McSweeney,18,11 Eric Wong,47 Penny Wu,19 Emily Molloy,,,
2025-09-15 16:43:08,4,1,1,1,0.90591395,0.75447315,47 Penny Wu,13,03 Ethan Jones,47 Penny Wu,19 Emily Molloy,,,
2025-09-15 16:46:00,5,1,0,0,1.0,0.8200795,76 Conrad Nguyen,4,,,,Peter Walsh,,
2025-09-15 16:47:01,5,2,0,0,0.7688172,0.81809145,76 Conrad Nguyen,7,,,,76 Conrad Nguyen,,
2025-09-15 16:48:06,5,3,0,0,0.41129032,0.8170974,76 Conrad Nguyen,1,,,,76 Conrad Nguyen,,
2025-09-15 16:49:39,5,4,0,0,1.0,0.8011928,76 Conrad Nguyen,14,,,,Peter Walsh,,
2025-09-15 16:52:23,5,5,0,0,0.97043014,0.8001988,76 Conrad Nguyen,12,,,,Peter Walsh,,
2025-09-15 16:54:53,6,1,1,1,0.38172042,0.81809145,47 Penny Wu,2,47 Penny Wu,32 Sean McSweeney,92 Sam DeVine,,,
2025-09-15 16:57:05,7,1,0,0,0.66129035,0.5685885,08 ManHua Zhu,6,,,,,20 Ellie Lind,
2025-09-15 16:58:33,7,2,0,0,0.62903225,0.8001988,10 Nate King,2,,,,71 Guber,,
2025-09-15 16:59:43,8,1,1,0,0.6989247,0.5685885,47 Penny Wu,1,,,,47 Penny Wu,,
2025-09-15 17:00:50,8,2,1,1,0.25268817,0.59940356,17 Anna Martinello,6,24 Courtney Rachke,03 Ethan Jones,24 Courtney Rachke,,,
2025-09-15 17:03:36,10,1,1,1,0.7311828,0.7435388,47 Penny Wu,13,47 Penny Wu,32 Sean McSweeney,24 Courtney Rachke,,,
2025-09-15 17:05:50,11,1,0,0,0.5913978,0.49105367,30 Caleb Moran,12,,,,56 Angel Barragan,,
2025-09-15 17:07:32,11,2,0,1,0.5,0.55069584,10 Nate King,1,,10 Nate King,71 Guber,,,
2025-09-15 17:09:21,12,1,0,0,0.37096775,0.82306165,47 Penny Wu,3,,,,,Mox,
2025-09-15 17:10:46,13,1,1,1,0.23655914,0.69284296,32 Sean McSweeney,12,11 Eric Wong,47 Penny Wu,17 Anna Martinello,,,
2025-09-15 17:12:34,14,1,1,1,0.0,0.75149107,32 Sean McSweeney,5,24 Courtney Rachke,47 Penny Wu,03 Ethan Jones,,,
2025-09-15 17:14:51,15,1,0,0,0.9811828,0.8190855,56 Angel Barragan,1,,,,56 Angel Barragan,,
2025-09-15 17:15:28,15,2,0,0,0.66935486,0.77335984,76 Conrad Nguyen,5,,,,Mox,,
2025-09-15 17:16:44,16,1,1,1,0.0,0.59343934,92 Sam DeVine,6,03 Ethan Jones,32 Sean McSweeney,47 Penny Wu,,,
2025-09-15 17:18:39,17,1,0,1,0.8360215,0.6500994,10 Nate King,2,10 Nate King,08 ManHua Zhu,21 Abby Pavlicek,,,
2025-09-15 17:20:53,18,1,0,1,0.0,0.8021869,56 Angel Barragan,8,20 Ellie Lind,71 Guber,56 Angel Barragan,,,
2025-09-15 17:24:36,19,1,0,0,0.27419356,0.80815107,30 Caleb Moran,2,,,,17 Anna Martinello,,
2025-09-15 17:25:42,20,1,1,1,0.53494626,0.6351889,32 Sean McSweeney,1,,32 Sean McSweeney,03 Ethan Jones,,,
2025-09-15 17:28:50,22,1,1,0,0.15860215,0.79324055,32 Sean McSweeney,9,,,,,03 Ethan Jones,
2025-09-15 17:31:31,22,2,1,1,0.19354838,0.305169,47 Penny Wu,2,47 Penny Wu,11 Eric Wong,24 Courtney Rachke,,,
2025-09-15 17:32:53,24,1,1,0,0.6989247,0.4642147,32 Sean McSweeney,3,,,,47 Penny Wu,,
2025-09-15 17:35:42,24,2,1,1,0.008064516,0.33797216,47 Penny Wu,6,11 Eric Wong,24 Courtney Rachke,11 Eric Wong,,,
