Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-09-15 11:34:55,1,0,0,0,0,0,0,0,0,0,0,0,,,
2025-09-15 11:37:17,2,0,1,1,0,1,10,1,1,0,0,0,,,
2025-09-15 11:39:58,3,0,2,1,1,1,3,0,0,0,0,0,10 Nate King,30 Caleb Moran,76 Conrad Nguyen
2025-09-15 11:41:11,4,1,2,0,0,0,0,0,0,0,0,0,,,
2025-09-15 11:42:12,5,1,3,1,1,1,2,0,0,0,0,0,47 Penny Wu,32 Sean McSweeney,03 Ethan Jones
2025-09-15 11:42:47,6,2,3,0,1,5,11,4,4,0,1,4,11 Eric Wong,08 ManHua Zhu,20 Ellie Lind
2025-09-15 11:50:11,7,3,3,0,0,1,5,1,1,0,1,0,,,
2025-09-15 11:53:08,8,3,4,1,0,3,11,3,3,0,2,0,,,
2025-09-15 12:00:31,9,3,5,1,1,2,16,1,1,0,1,0,21 Abby Pavlicek,71 Guber,10 Nate King
2025-09-15 14:40:40,10,4,5,0,0,0,0,0,0,0,0,0,,,
2025-09-15 14:41:19,11,4,6,1,1,1,12,0,0,0,0,0,11 Eric Wong,47 Penny Wu,19 Emily Molloy
2025-09-15 14:43:36,12,5,6,0,0,0,0,0,0,0,0,0,,,
2025-09-15 14:44:08,13,5,7,1,1,1,6,0,0,0,0,0,47 Penny Wu,03 Ethan Jones,24 Courtney Rachke
2025-09-15 14:45:27,14,6,7,0,1,1,9,0,0,0,0,1,11 Eric Wong,10 Nate King,Peter Walsh
2025-09-15 14:48:30,15,7,7,0,1,1,4,0,0,0,1,0,24 Courtney Rachke,03 Ethan Jones,
2025-09-15 14:50:24,16,8,7,0,1,1,1,0,0,0,1,0,,71 Guber,47 Penny Wu
2025-09-15 14:51:25,17,9,7,0,1,1,6,0,0,0,0,1,03 Ethan Jones,19 Emily Molloy,
2025-09-15 14:52:59,18,10,7,0,0,0,0,0,0,0,0,0,,,
2025-09-15 14:53:45,19,10,8,1,1,1,3,0,0,0,0,0,32 Sean McSweeney,03 Ethan Jones,19 Emily Molloy
2025-09-15 14:54:20,20,11,8,0,0,0,0,0,0,0,0,0,,,
