Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-09-15 11:37:31,2,1,1,0,0.7177419,0.78926444,47 Penny Wu,10,,,,47 Penny Wu,,
2025-09-15 11:40:39,3,1,1,1,0.38709676,0.6500994,08 ManHua Zhu,3,10 Nate King,30 Caleb Moran,76 Conrad Nguyen,,,
2025-09-15 11:42:32,5,1,1,1,0.99462366,0.7127237,47 Penny Wu,2,47 Penny Wu,32 Sean McSweeney,03 Ethan Jones,,,
2025-09-15 11:45:03,6,1,0,0,0.3951613,0.82107353,08 ManHua Zhu,1,,,,08 ManHua Zhu,,
2025-09-15 11:45:32,6,2,0,0,0.52956986,0.59343934,30 Caleb Moran,2,,,,10 Nate King,,
2025-09-15 11:47:34,6,3,0,0,0.01344086,0.8161034,08 ManHua Zhu,3,,,,11 Eric Wong,,
2025-09-15 11:48:22,6,4,0,0,0.37096775,0.7425447,10 Nate King,3,,,,10 Nate King,,
2025-09-15 11:49:28,6,5,0,1,0.6075269,0.2415507,11 Eric Wong,2,11 Eric Wong,08 ManHua Zhu,20 Ellie Lind,,,
2025-09-15 11:51:22,7,1,0,0,0.8010753,0.82902586,Peter Walsh,5,,,,47 Penny Wu,,
2025-09-15 11:53:39,8,1,1,0,0.3655914,0.75149107,32 Sean McSweeney,5,,,,19 Emily Molloy,,
2025-09-15 11:56:35,8,2,1,0,0.8413978,0.7922465,32 Sean McSweeney,4,,,,47 Penny Wu,,
2025-09-15 11:58:53,8,3,1,0,0.8682796,0.25646123,11 Eric Wong,2,,,,92 Sam DeVine,,
2025-09-15 14:37:24,9,1,1,0,0.9489247,0.7385686,08 ManHua Zhu,8,,,,21 Abby Pavlicek,,
2025-09-15 14:39:20,9,2,1,1,0.58870965,0.81212723,10 Nate King,8,21 Abby Pavlicek,71 Guber,10 Nate King,,,
2025-09-15 14:41:45,11,1,1,1,0.3467742,0.79821074,47 Penny Wu,12,11 Eric Wong,47 Penny Wu,19 Emily Molloy,,,
2025-09-15 14:44:30,13,1,1,1,0.024193548,0.68687874,32 Sean McSweeney,6,47 Penny Wu,03 Ethan Jones,24 Courtney Rachke,,,
2025-09-15 14:47:20,14,1,0,1,0.69623655,0.81809145,10 Nate King,9,11 Eric Wong,10 Nate King,Peter Walsh,,,
2025-09-15 14:49:42,15,1,0,1,0.9811828,0.46719682,10 Nate King,4,24 Courtney Rachke,03 Ethan Jones,,,,
2025-09-15 14:51:22,16,1,0,1,0.65591395,0.25844932,71 Guber,1,,71 Guber,47 Penny Wu,,,
2025-09-15 14:52:01,17,1,0,1,1.0,0.63419485,56 Angel Barragan,6,03 Ethan Jones,19 Emily Molloy,,,,
2025-09-15 14:53:58,19,1,1,1,0.06451613,0.7435388,47 Penny Wu,3,32 Sean McSweeney,03 Ethan Jones,19 Emily Molloy,,,
