Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-19 18:07:44,1,0,0,0,0,1,4,1,1,0,1,0,,,
2025-07-19 18:13:38,2,0,1,1,1,1,10,0,0,0,0,0,32 Sean McSweeney,10 Nate King,25 Molly Cowley
2025-07-19 18:15:28,3,1,1,0,0,0,0,0,0,0,0,0,,,
2025-07-19 18:16:58,4,1,2,1,1,1,15,0,0,0,0,0,19 Emily Molloy,47 Penny Wu,25 Molly Cowley
2025-07-19 18:20:55,5,2,2,0,0,1,2,1,1,0,1,0,,,
2025-07-19 18:22:07,6,2,3,1,1,2,8,1,1,0,0,1,32 Sean McSweeney,92 Sam DeVine,47 Penny Wu
2025-07-19 18:23:55,7,3,3,0,0,1,1,1,1,0,0,1,,,
2025-07-19 18:25:34,8,3,4,1,1,4,20,3,3,0,2,1,47 Penny Wu,03 Ethan Jones,19 Emily Molloy
2025-07-19 18:33:01,9,4,4,0,0,0,0,0,0,0,0,0,,,
2025-07-19 18:33:45,10,4,5,1,0,1,2,1,1,0,0,0,,,
2025-07-19 18:34:28,11,4,6,1,1,1,6,0,0,0,0,0,05 Seokhee Burningham,47 Penny Wu,05 Seokhee Burningham
2025-07-19 18:35:44,12,5,6,0,0,2,10,2,2,0,1,1,,,
2025-07-19 18:38:36,13,5,7,1,0,1,7,1,1,0,0,0,,,
2025-07-19 18:40:05,14,5,8,1,0,1,2,1,0,1,0,0,,,
2025-07-19 18:41:59,15,5,9,1,0,1,4,1,1,0,0,0,,,
2025-07-19 18:43:23,16,5,10,1,0,1,10,1,1,0,0,0,,,
2025-07-19 18:44:57,17,5,11,1,0,1,7,1,1,0,0,0,,,
2025-07-19 18:46:42,18,5,12,1,0,2,4,1,1,0,0,1,,,
