Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-19 18:12:40,1,1,0,0,0.27419356,0.82703775,56 Angel Barragan,4,,,,76 Conrad Nguyen,,
2025-07-19 18:14:15,2,1,1,1,0.8736559,0.8011928,47 Penny Wu,10,32 Sean McSweeney,10 Nate King,25 Molly Cowley,,,
2025-07-19 18:18:31,4,1,1,1,0.9516129,0.7435388,47 Penny Wu,15,19 Emily Molloy,47 Penny Wu,25 Molly Cowley,,,
2025-07-19 18:21:38,5,1,0,0,0.6182796,0.56560636,56 Angel Barragan,2,,,,Peter Walsh,,
2025-07-19 18:22:33,6,1,1,0,0.11290322,0.86580515,10 Nate King,4,,,,47 Penny Wu,,
2025-07-19 18:23:17,6,2,1,1,0.2204301,0.32107356,10 Nate King,4,32 Sean McSweeney,92 Sam DeVine,47 Penny Wu,,,
2025-07-19 18:24:57,7,1,0,0,0.7607527,0.8220676,08 ManHua Zhu,1,,,,08 ManHua Zhu,,
2025-07-19 18:25:59,8,1,1,0,0.51344085,0.582505,47 Penny Wu,1,,,,47 Penny Wu,,
2025-07-19 18:29:15,8,2,1,0,0.27688172,0.49204773,32 Sean McSweeney,1,,,,32 Sean McSweeney,,
2025-07-19 18:29:43,8,3,1,0,0.2876344,0.80318093,05 Seokhee Burningham,7,,,,32 Sean McSweeney,,
2025-07-19 18:30:48,8,4,1,1,0.12634408,0.7564612,03 Ethan Jones,11,47 Penny Wu,03 Ethan Jones,19 Emily Molloy,,,
2025-07-19 18:34:07,10,1,1,0,0.26075268,0.9264414,10 Nate King,2,,,,47 Penny Wu,,
2025-07-19 18:34:52,11,1,1,1,0.69623655,0.8409543,32 Sean McSweeney,6,05 Seokhee Burningham,47 Penny Wu,05 Seokhee Burningham,,,
2025-07-19 18:36:39,12,1,0,0,0.3467742,0.81809145,08 ManHua Zhu,4,,,,14 Gina Stees,,
2025-07-19 18:37:29,12,2,0,0,0.7930108,0.43737575,30 Caleb Moran,6,,,,14 Gina Stees,,
2025-07-19 18:38:54,13,1,1,0,0.5241935,0.6421471,32 Sean McSweeney,7,,,,47 Penny Wu,,
2025-07-19 18:41:20,14,1,1,0,0.34408602,0.9502982,11 Eric Wong,2,,,,,05 Seokhee Burningham,
2025-07-19 18:42:24,15,1,1,0,0.47580644,0.63717693,47 Penny Wu,4,,,,47 Penny Wu,,
2025-07-19 18:43:44,16,1,1,0,0.78494626,0.7147117,08 ManHua Zhu,10,,,,30 Caleb Moran,,
2025-07-19 18:45:20,17,1,1,0,0.13172042,0.80815107,32 Sean McSweeney,7,,,,47 Penny Wu,,
2025-07-19 18:47:09,18,1,1,0,0.016129032,0.9035785,06 Tess Buchanan,3,,,,71 Guber,,
2025-07-19 18:48:01,18,2,1,0,0.04032258,0.8170974,56 Angel Barragan,1,,,,,,21 Abby Pavlicek
