Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-22 15:47:05,1,0,0,1,1,2,6,1,1,0,1,0,19 Emily Molloy,16 Brooke Chomko,03 Ethan Jones
2025-07-22 15:49:03,2,1,0,0,0,1,15,1,1,0,1,0,,,
2025-07-22 15:52:43,3,1,1,1,1,1,23,0,0,0,0,0,05 Seokhee Burningham,03 Ethan Jones,16 Brooke Chomko
2025-07-22 15:56:17,4,2,1,0,0,1,3,1,1,0,1,0,,,
2025-07-22 15:57:58,5,2,2,1,1,4,36,3,3,0,2,1,03 Ethan Jones,32 Sean McSweeney,03 Ethan Jones
2025-07-22 16:05:28,6,3,2,0,0,1,2,1,1,0,0,1,,,
2025-07-22 16:06:39,7,3,3,1,1,1,14,0,0,0,0,0,32 Sean McSweeney,10 Nate King,56 Angel Barragan
2025-07-22 16:08:47,8,4,3,0,0,0,0,0,0,0,0,0,,,
2025-07-22 16:09:17,9,4,4,1,0,1,3,1,1,0,0,0,,,
2025-07-22 16:10:42,10,4,5,0,0,1,8,1,1,0,1,0,,,
2025-07-22 16:14:18,11,4,6,1,1,2,14,1,1,0,1,0,05 Seokhee Burningham,32 Sean McSweeney,05 Seokhee Burningham
2025-07-22 16:16:46,12,5,6,0,0,0,0,0,0,0,0,0,,,
2025-07-22 16:17:50,13,5,7,1,1,1,9,0,0,0,0,0,19 Emily Molloy,32 Sean McSweeney,03 Ethan Jones
2025-07-22 16:19:06,14,6,7,0,0,1,3,1,1,0,0,1,,,
2025-07-22 16:20:47,15,6,8,1,0,0,0,0,0,0,0,0,,,
