Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-22 15:47:58,1,1,1,0,0.4704301,0.63419485,47 Penny Wu,2,,,,19 Emily Molloy,,
2025-07-22 15:48:32,1,2,1,1,0.78494626,0.6988072,32 Sean McSweeney,4,19 Emily Molloy,16 Brooke Chomko,03 Ethan Jones,,,
2025-07-22 15:50:57,2,1,0,0,0.18817204,0.80815107,11 Eric Wong,15,,,,14 Gina Stees,,
2025-07-22 15:53:25,3,1,1,1,0.69623655,0.7862823,47 Penny Wu,23,05 Seokhee Burningham,03 Ethan Jones,16 Brooke Chomko,,,
2025-07-22 15:57:11,4,1,0,0,0.05376344,0.8250497,06 Tess Buchanan,3,,,,71 Guber,,
2025-07-22 15:58:25,5,1,1,0,0.71236557,0.7664016,47 Penny Wu,13,,,,25 Molly Cowley,,
2025-07-22 16:00:50,5,2,1,0,0.9516129,0.4801193,32 Sean McSweeney,8,,,,47 Penny Wu,,
2025-07-22 16:02:49,5,3,1,0,0.61021507,0.34294236,32 Sean McSweeney,9,,,,05 Seokhee Burningham,,
2025-07-22 16:04:18,5,4,1,1,0.44892472,0.80417496,47 Penny Wu,6,03 Ethan Jones,32 Sean McSweeney,03 Ethan Jones,,,
2025-07-22 16:06:11,6,1,0,0,0.13709678,0.72067595,30 Caleb Moran,2,,,,14 Gina Stees,,
2025-07-22 16:07:09,7,1,1,1,0.77150536,0.8170974,47 Penny Wu,14,32 Sean McSweeney,10 Nate King,56 Angel Barragan,,,
2025-07-22 16:09:54,9,1,1,0,0.3467742,0.7952286,47 Penny Wu,3,,,,10 Nate King,,
2025-07-22 16:12:52,10,1,0,0,0.032258064,0.72167,30 Caleb Moran,8,,,,30 Caleb Moran,,
2025-07-22 16:14:52,11,1,1,0,0.2795699,0.75447315,32 Sean McSweeney,8,,,,47 Penny Wu,,
2025-07-22 16:16:15,11,2,1,1,0.30645162,0.74055666,25 Molly Cowley,6,05 Seokhee Burningham,32 Sean McSweeney,05 Seokhee Burningham,,,
2025-07-22 16:18:11,13,1,1,1,0.6182796,0.7833002,03 Ethan Jones,9,19 Emily Molloy,32 Sean McSweeney,03 Ethan Jones,,,
2025-07-22 16:20:14,14,1,0,0,0.018817205,0.6550696,76 Conrad Nguyen,3,,,,76 Conrad Nguyen,,
