Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-21 22:19:41,1,0,0,0,0,1,4,1,1,0,0,1,,,
2025-07-21 22:25:09,2,0,1,1,1,1,7,0,0,0,0,0,03 Ethan Jones,92 Sam DeVine,03 Ethan Jones
2025-07-21 22:26:57,3,1,1,0,0,0,0,0,0,0,0,0,,,
2025-07-21 22:27:38,4,1,2,1,1,1,11,0,0,0,0,0,10 Nate King,47 Penny Wu,03 Ethan Jones
2025-07-21 22:29:49,5,2,2,0,0,1,3,1,1,0,0,1,,,
2025-07-21 22:32:05,6,2,3,1,0,1,4,1,1,1,0,0,,,
2025-07-21 22:34:05,7,2,4,1,0,1,7,1,1,0,0,0,,,
2025-07-21 22:35:45,8,2,5,1,0,1,3,1,0,1,0,0,,,
2025-07-21 22:38:32,9,2,6,1,0,1,2,1,1,0,0,0,,,
2025-07-21 22:40:32,10,2,7,1,1,1,10,0,0,0,0,0,92 Sam DeVine,47 Penny Wu,05 Seokhee Burningham
2025-07-21 22:42:15,11,3,7,0,0,0,0,0,0,0,0,0,,,
2025-07-21 22:43:11,12,3,8,1,0,4,20,4,4,0,1,2,,,
2025-07-21 22:48:00,13,3,9,1,0,1,12,1,1,0,0,0,,,
2025-07-21 22:50:05,14,3,10,1,0,1,2,1,1,0,0,0,,,
2025-07-21 22:50:55,15,3,11,1,1,2,7,1,1,0,1,0,05 Seokhee Burningham,47 Penny Wu,03 Ethan Jones
2025-07-21 22:52:43,16,4,11,0,0,0,0,0,0,0,0,0,,,
2025-07-21 22:54:05,17,4,12,1,0,2,19,2,1,1,0,1,,,
2025-07-21 22:57:57,18,4,13,1,1,2,6,1,1,0,0,1,,10 Nate King,92 Sam DeVine
2025-07-21 23:00:51,19,5,13,0,0,0,0,0,0,0,0,0,,,
2025-07-21 23:01:44,20,5,14,1,0,0,0,0,0,0,0,0,,,
