Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-21 22:23:53,1,1,0,0,0.88978493,0.5914513,08 ManHua Zhu,4,,,,03 Ethan Jones,,
2025-07-21 22:25:30,2,1,1,1,0.6935484,0.85188866,32 Sean McSweeney,7,03 Ethan Jones,92 Sam DeVine,03 Ethan Jones,,,
2025-07-21 22:27:59,4,1,1,1,0.05107527,0.7445328,32 Sean McSweeney,11,10 Nate King,47 Penny Wu,03 Ethan Jones,,,
2025-07-21 22:31:31,5,1,0,0,0.9435484,0.806163,11 Eric Wong,3,,,,17 Anna Martinello,,
2025-07-21 22:32:25,6,1,1,0,0.3172043,0.77335984,32 Sean McSweeney,4,,,,10 Nate King,32 Sean McSweeney,
2025-07-21 22:34:32,7,1,1,0,0.86290324,0.92047715,47 Penny Wu,7,,,,32 Sean McSweeney,,
2025-07-21 22:36:29,8,1,1,0,0.005376344,0.7335984,56 Angel Barragan,3,,,,,71 Guber,
2025-07-21 22:39:52,9,1,1,0,0.5080645,0.6351889,08 ManHua Zhu,2,,,,17 Anna Martinello,,
2025-07-21 22:40:52,10,1,1,1,0.1827957,0.8489066,47 Penny Wu,10,92 Sam DeVine,47 Penny Wu,05 Seokhee Burningham,,,
2025-07-21 22:43:45,12,1,1,0,0.3091398,0.75944334,08 ManHua Zhu,7,,,,11 Eric Wong,,
2025-07-21 22:45:13,12,2,1,0,0.05376344,0.805169,08 ManHua Zhu,4,,,,14 Gina Stees,,
2025-07-21 22:46:17,12,3,1,0,0.577957,0.8170974,11 Eric Wong,2,,,,71 Guber,,
2025-07-21 22:47:21,12,4,1,0,0.024193548,0.722664,08 ManHua Zhu,7,,,,14 Gina Stees,,
2025-07-21 22:48:30,13,1,1,0,0.61290324,0.8439364,56 Angel Barragan,12,,,,06 Tess Buchanan,,
2025-07-21 22:50:29,14,1,1,0,0.2204301,0.79821074,32 Sean McSweeney,2,,,,47 Penny Wu,,
2025-07-21 22:51:21,15,1,1,0,0.83064514,0.8588469,32 Sean McSweeney,5,,,,47 Penny Wu,,
2025-07-21 22:52:25,15,2,1,1,0.733871,0.22266401,05 Seokhee Burningham,2,05 Seokhee Burningham,47 Penny Wu,03 Ethan Jones,,,
2025-07-21 22:54:32,17,1,1,0,0.083333336,0.68190855,30 Caleb Moran,12,,,,30 Caleb Moran,,
2025-07-21 22:56:41,17,2,1,0,0.6639785,0.8161034,08 ManHua Zhu,7,,,,,07 Jake Blatt,
2025-07-21 22:59:37,18,1,1,0,0.3091398,0.6759443,32 Sean McSweeney,5,,,,92 Sam DeVine,,
2025-07-21 23:00:46,18,2,1,1,0.07795699,0.41351888,10 Nate King,1,,10 Nate King,92 Sam DeVine,,,
