Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-24 11:35:36,1,0,0,1,1,3,8,2,1,1,0,2,03 Ethan Jones,92 Sam DeVine,03 Ethan Jones
2025-07-24 11:45:02,2,1,0,0,0,1,2,1,1,0,1,0,,,
2025-07-24 11:47:31,3,1,1,1,1,2,6,1,1,0,1,0,,32 Sean McSweeney,92 Sam DeVine
2025-07-24 11:49:14,4,2,1,0,0,2,20,2,2,0,1,1,,,
2025-07-24 11:55:04,5,2,2,1,0,2,5,2,2,0,1,0,,,
2025-07-24 11:57:11,6,2,3,1,0,2,4,2,1,1,0,1,,,
2025-07-24 12:00:48,7,2,4,1,1,1,15,0,0,0,0,0,32 Sean McSweeney,92 Sam DeVine,47 Penny Wu
2025-07-24 12:03:00,8,3,4,0,0,0,0,0,0,0,0,0,,,
2025-07-24 12:03:28,9,3,5,0,1,1,6,0,0,0,0,1,11 Eric Wong,04 Justin Foreman,17 Anna Martinello
2025-07-24 12:05:20,10,4,5,0,0,0,0,0,0,0,0,0,,,
2025-07-24 12:06:23,11,4,6,1,1,1,2,0,0,0,0,0,32 Sean McSweeney,47 Penny Wu,05 Seokhee Burningham
2025-07-24 12:07:17,12,5,6,0,0,0,0,0,0,0,0,0,,,
2025-07-24 12:09:11,13,5,7,1,0,2,14,2,2,0,1,0,,,
2025-07-24 12:13:16,14,5,8,1,1,1,13,0,0,0,0,0,19 Emily Molloy,47 Penny Wu,92 Sam DeVine
2025-07-24 12:15:30,15,6,8,0,0,0,0,0,0,0,0,0,,,
2025-07-24 12:16:52,16,6,9,1,0,0,0,0,0,0,0,0,,,
