Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-24 11:35:58,1,1,1,0,0.78494626,0.76441354,32 Sean McSweeney,4,,,,47 Penny Wu,,
2025-07-24 11:38:49,1,2,1,0,0.7580645,0.81212723,32 Sean McSweeney,1,,,,,19 Emily Molloy,
2025-07-24 11:44:27,1,3,1,1,0.9677419,0.8101392,32 Sean McSweeney,3,03 Ethan Jones,92 Sam DeVine,03 Ethan Jones,,,
2025-07-24 11:46:30,2,1,0,0,0.63978493,0.82902586,08 ManHua Zhu,2,,,,11 Eric Wong,,
2025-07-24 11:47:54,3,1,1,0,0.78763443,0.73061633,47 Penny Wu,5,,,,32 Sean McSweeney,,
2025-07-24 11:49:10,3,2,1,1,0.2983871,0.29821074,32 Sean McSweeney,1,,32 Sean McSweeney,92 Sam DeVine,,,
2025-07-24 11:51:08,4,1,0,0,0.7311828,0.8667992,21 Abby Pavlicek,5,,,,71 Guber,,
2025-07-24 11:52:28,4,2,0,0,0.5510753,0.8260437,76 Conrad Nguyen,15,,,,56 Angel Barragan,,
2025-07-24 11:55:41,5,1,1,0,0.6424731,0.8976143,08 ManHua Zhu,2,,,,14 Gina Stees,,
2025-07-24 11:56:15,5,2,1,0,0.37096775,0.81212723,08 ManHua Zhu,3,,,,07 Jake Blatt,,
2025-07-24 11:57:51,6,1,1,0,0.4919355,0.48508945,32 Sean McSweeney,2,,,,,24 Courtney Rachke,
2025-07-24 11:59:43,6,2,1,0,0.7231183,0.82803184,32 Sean McSweeney,2,,,,03 Ethan Jones,,
2025-07-24 12:01:14,7,1,1,1,0.3360215,0.722664,92 Sam DeVine,15,32 Sean McSweeney,92 Sam DeVine,47 Penny Wu,,,
2025-07-24 12:04:41,9,1,0,1,0.002688172,0.79025847,08 ManHua Zhu,6,11 Eric Wong,04 Justin Foreman,17 Anna Martinello,,,
2025-07-24 12:06:55,11,1,1,1,0.03763441,0.76838964,32 Sean McSweeney,2,32 Sean McSweeney,47 Penny Wu,05 Seokhee Burningham,,,
2025-07-24 12:09:35,13,1,1,0,0.13440861,0.7524851,92 Sam DeVine,6,,,,92 Sam DeVine,,
2025-07-24 12:11:45,13,2,1,0,0.86021507,0.82107353,32 Sean McSweeney,8,,,,47 Penny Wu,,
2025-07-24 12:13:41,14,1,1,1,0.2956989,0.723658,47 Penny Wu,13,19 Emily Molloy,47 Penny Wu,92 Sam DeVine,,,
