Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-24 10:31:36,1,0,0,0,0,1,4,1,1,0,1,0,,,
2025-07-24 10:33:41,2,0,1,1,1,3,10,2,2,0,0,2,,47 Penny Wu,03 Ethan Jones
2025-07-24 10:37:18,3,1,1,0,0,1,4,1,1,0,0,1,,,
2025-07-24 10:39:25,4,1,2,1,1,1,3,0,0,0,0,0,47 Penny Wu,32 Sean McSweeney,03 Ethan Jones
2025-07-24 10:40:42,5,2,2,0,0,1,1,1,1,0,0,1,,,
2025-07-24 10:42:26,6,2,3,1,0,5,25,5,5,0,2,2,,,
2025-07-24 11:08:01,7,2,4,1,0,1,2,1,1,0,0,0,,,
2025-07-24 11:10:36,8,2,5,1,1,1,5,0,0,0,0,0,03 Ethan Jones,92 Sam DeVine,03 Ethan Jones
2025-07-24 11:11:49,9,3,5,1,1,2,5,1,1,0,1,0,,32 Sean McSweeney,25 Molly Cowley
2025-07-24 11:13:24,10,4,5,0,0,0,0,0,0,0,0,0,,,
2025-07-24 11:14:12,11,4,6,1,0,0,0,0,0,0,0,0,,,
