Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-24 10:32:42,1,1,0,0,0.28494623,0.7922465,30 Caleb Moran,4,,,,11 Eric Wong,,
2025-07-24 10:34:31,2,1,1,0,0.5,0.65208745,47 Penny Wu,6,,,,10 Nate King,,
2025-07-24 10:36:08,2,2,1,0,0.29301074,0.82107353,47 Penny Wu,3,,,,10 Nate King,,
2025-07-24 10:37:06,2,3,1,1,0.0,0.3528827,47 Penny Wu,1,,47 Penny Wu,03 Ethan Jones,,,
2025-07-24 10:37:56,3,1,0,0,0.38978493,0.82703775,56 Angel Barragan,4,,,,Peter Walsh,,
2025-07-24 10:40:02,4,1,1,1,0.68817204,0.73956263,32 Sean McSweeney,3,47 Penny Wu,32 Sean McSweeney,03 Ethan Jones,,,
2025-07-24 10:42:03,5,1,0,0,0.70430106,0.7972167,11 Eric Wong,1,,,,11 Eric Wong,,
2025-07-24 10:42:50,6,1,1,0,0.7903226,0.6799205,47 Penny Wu,5,,,,47 Penny Wu,,
2025-07-24 10:44:06,6,2,1,0,0.19086021,0.58449304,32 Sean McSweeney,3,,,,19 Emily Molloy,,
2025-07-24 10:59:34,6,3,1,0,0.96236557,0.2972167,47 Penny Wu,6,,,,05 Seokhee Burningham,,
2025-07-24 11:01:15,6,4,1,0,0.0,0.8161034,32 Sean McSweeney,6,,,,47 Penny Wu,,
2025-07-24 11:04:58,6,5,1,0,0.16397849,0.8111332,47 Penny Wu,5,,,,32 Sean McSweeney,,
2025-07-24 11:08:27,7,1,1,0,0.78763443,0.7833002,56 Angel Barragan,2,,,,71 Guber,,
2025-07-24 11:11:22,8,1,1,1,0.2580645,0.76043737,32 Sean McSweeney,5,03 Ethan Jones,92 Sam DeVine,03 Ethan Jones,,,
2025-07-24 11:12:20,9,1,1,0,0.6854839,0.5864811,47 Penny Wu,4,,,,92 Sam DeVine,,
2025-07-24 11:13:18,9,2,1,1,0.51344085,0.21073559,32 Sean McSweeney,1,,32 Sean McSweeney,25 Molly Cowley,,,
