Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-24 09:36:55,1,0,0,1,1,1,8,0,0,0,0,0,03 Ethan Jones,47 Penny Wu,32 Sean McSweeney
2025-07-24 09:38:35,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-07-24 09:39:19,3,1,1,1,1,1,16,0,0,0,0,0,19 Emily Molloy,47 Penny Wu,32 Sean McSweeney
2025-07-24 09:41:47,4,2,1,0,1,1,3,0,0,0,0,1,76 Conrad Nguyen,71 Guber,56 Angel Barragan
2025-07-24 09:42:56,5,3,1,0,0,4,30,4,3,1,1,3,,,
2025-07-24 09:49:30,6,3,2,1,1,3,9,2,2,0,1,1,32 Sean McSweeney,92 Sam DeVine,25 Molly Cowley
2025-07-24 10:08:11,7,4,2,0,0,0,0,0,0,0,0,0,,,
2025-07-24 10:09:03,8,4,3,1,1,2,8,1,1,0,1,0,32 Sean McSweeney,47 Penny Wu,03 Ethan Jones
2025-07-24 10:11:44,9,5,3,0,0,1,5,1,1,0,0,1,,,
2025-07-24 10:14:31,10,5,4,1,0,1,11,1,1,0,0,0,,,
2025-07-24 10:17:12,11,5,5,1,1,1,6,0,0,0,0,0,47 Penny Wu,,
2025-07-24 10:19:15,12,6,5,0,0,0,0,0,0,0,0,0,,,
2025-07-24 10:19:59,13,6,6,1,1,2,13,1,1,0,0,1,03 Ethan Jones,19 Emily Molloy,92 Sam DeVine
2025-07-24 10:22:41,14,7,6,0,1,2,7,1,1,0,1,1,03 Ethan Jones,11 Eric Wong,14 Gina Stees
2025-07-24 10:26:00,15,8,6,0,0,0,0,0,0,0,0,0,,,
2025-07-24 10:26:33,16,8,7,1,1,1,4,0,0,0,0,0,10 Nate King,92 Sam DeVine,19 Emily Molloy
2025-07-24 10:27:54,17,9,7,0,0,0,0,0,0,0,0,0,,,
