Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-24 09:37:37,1,1,1,1,0.26612905,0.7335984,47 Penny Wu,8,03 Ethan Jones,47 Penny Wu,32 Sean McSweeney,,,
2025-07-24 09:39:43,3,1,1,1,0.26344085,0.7276342,32 Sean McSweeney,16,19 Emily Molloy,47 Penny Wu,32 Sean McSweeney,,,
2025-07-24 09:42:28,4,1,0,1,1.0,0.6550696,56 Angel Barragan,3,76 Conrad Nguyen,71 Guber,56 Angel Barragan,,,
2025-07-24 09:43:40,5,1,0,0,0.002688172,0.70079523,11 Eric Wong,13,,,,11 Eric Wong,,
2025-07-24 09:45:54,5,2,0,0,0.20698924,0.8190855,11 Eric Wong,9,,,,30 Caleb Moran,,
2025-07-24 09:47:29,5,3,0,0,0.029569892,0.46222663,11 Eric Wong,6,,,,11 Eric Wong,,
2025-07-24 09:48:52,5,4,0,0,0.71505374,0.37574553,30 Caleb Moran,2,,,,,08 ManHua Zhu,
2025-07-24 09:49:50,6,1,1,0,0.48924732,0.6312127,47 Penny Wu,3,,,,47 Penny Wu,,
2025-07-24 09:50:56,6,2,1,0,0.4139785,0.8101392,47 Penny Wu,4,,,,47 Penny Wu,,
2025-07-24 10:07:52,6,3,1,1,0.11827957,0.2664016,32 Sean McSweeney,2,32 Sean McSweeney,92 Sam DeVine,25 Molly Cowley,,,
2025-07-24 10:09:25,8,1,1,0,0.99462366,0.76838964,32 Sean McSweeney,5,,,,47 Penny Wu,,
2025-07-24 10:10:44,8,2,1,1,0.19892474,0.7087475,05 Seokhee Burningham,3,32 Sean McSweeney,47 Penny Wu,03 Ethan Jones,,,
2025-07-24 10:12:36,9,1,0,0,0.16129032,0.5964215,11 Eric Wong,5,,,,,,
2025-07-24 10:14:51,10,1,1,0,0.4247312,0.7147117,32 Sean McSweeney,11,,,,47 Penny Wu,,
2025-07-24 10:17:27,11,1,1,1,0.3548387,0.71769387,32 Sean McSweeney,6,47 Penny Wu,,,,,
2025-07-24 10:20:13,13,1,1,0,0.50268817,0.62823063,47 Penny Wu,8,,,,47 Penny Wu,,
2025-07-24 10:22:10,13,2,1,1,0.74462366,0.23856859,32 Sean McSweeney,5,03 Ethan Jones,19 Emily Molloy,92 Sam DeVine,,,
2025-07-24 10:24:02,14,1,0,0,0.9811828,0.81809145,11 Eric Wong,5,,,,71 Guber,,
2025-07-24 10:25:39,14,2,0,1,0.71236557,0.2166998,03 Ethan Jones,2,03 Ethan Jones,11 Eric Wong,14 Gina Stees,,,
2025-07-24 10:26:58,16,1,1,1,0.516129,0.63717693,47 Penny Wu,4,10 Nate King,92 Sam DeVine,19 Emily Molloy,,,
